O*NET-SOC CODE	TITLE	TASKS
11-2022.00	Sales Managers	Analyzes marketing potential of new and existing store locations, sales statistics, and expenditures to formulate policy.
11-2022.00	Sales Managers	Directs foreign sales and service outlets of organization.
11-2022.00	Sales Managers	Directs clerical staff to maintain export correspondence, bid requests, and credit collections and current information on tariffs, licenses, and restrictions.
11-2022.00	Sales Managers	Resolves customer complaints regarding sales and service.
11-2022.00	Sales Managers	Directs product research and development.
11-2022.00	Sales Managers	Direct conversion of products from USA to foreign standards.
11-2022.00	Sales Managers	Inspects premises of assigned stores for adequate security exits and compliance with safety codes and ordinances.
11-2022.00	Sales Managers	Represents company at trade association meetings to promote products.
11-2022.00	Sales Managers	Confers with potential customers regarding equipment needs and advises customers on types of equipment to purchase.
11-2022.00	Sales Managers	Visits franchised dealers to stimulate interest in establishment or expansion of leasing programs.
11-2022.00	Sales Managers	Advises dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.
11-2022.00	Sales Managers	Reviews operational records and reports to project sales and determine profitability.
11-2022.00	Sales Managers	Confers or consults with department heads to plan advertising services, secure information on appliances and equipment, and customer required specifications.
11-3011.00	Administrative Services Managers	Coordinates activities of clerical and administrative personnel in establishment or organization.
11-3011.00	Administrative Services Managers	Prepares and reviews operational reports and schedules to ensure accuracy and efficiency.
11-3011.00	Administrative Services Managers	Formulates budgetary reports.
11-3011.00	Administrative Services Managers	Hires and terminates clerical and administrative personnel.
11-3011.00	Administrative Services Managers	Conducts classes to teach procedures to staff.
11-3011.00	Administrative Services Managers	Recommends cost saving methods, such as supply changes and disposal of records to improve efficiency of department.
11-3011.00	Administrative Services Managers	Analyzes internal processes and plans or implements procedural and policy changes to improve operations.
11-3021.00	Computer and Information Systems Managers	Evaluates data processing project proposals and assesses project feasibility.
11-3021.00	Computer and Information Systems Managers	Directs daily operations of department and coordinates project activities with other departments.
11-3021.00	Computer and Information Systems Managers	Directs training of subordinates.
11-3021.00	Computer and Information Systems Managers	Participates in staffing decisions.
11-3021.00	Computer and Information Systems Managers	Develops and interprets organizational goals, policies, and procedures, and reviews project plans.
11-3021.00	Computer and Information Systems Managers	Develops performance standards and evaluates work in light of established standards.
11-3021.00	Computer and Information Systems Managers	Analyzes workflow and assigns or schedules work to meet priorities and goals.
11-3021.00	Computer and Information Systems Managers	Meets with department heads, managers, supervisors, vendors, and others to solicit cooperation and resolve problems.
11-3021.00	Computer and Information Systems Managers	Approves, prepares, monitors, and adjusts operational budget.
11-3021.00	Computer and Information Systems Managers	Consults with users, management, vendors, and technicians to determine computing needs and system requirements.
11-3021.00	Computer and Information Systems Managers	Prepares and reviews operational reports or project progress reports.
11-3031.01	Treasurers, Controllers, and Chief Financial Officers	Coordinates and directs financial planning, budgeting, procurement, and investment activities of organization.
11-3031.01	Treasurers, Controllers, and Chief Financial Officers	Prepares reports or directs preparation of reports summarizing organization's current and forecasted financial position, business activity, and reports required by regulatory agencies.
11-3031.01	Treasurers, Controllers, and Chief Financial Officers	Delegates authority for receipt, disbursement, banking, protection and custody of funds, securities, and financial instruments.
11-3031.01	Treasurers, Controllers, and Chief Financial Officers	Analyzes past, present, and expected operations.
11-3031.01	Treasurers, Controllers, and Chief Financial Officers	Advises management on economic objectives and policies, investments, and loans for short- and long- range financial plans.
11-3031.01	Treasurers, Controllers, and Chief Financial Officers	Evaluates need for procurement of funds and investment of surplus.
11-3031.01	Treasurers, Controllers, and Chief Financial Officers	Arranges audits of company accounts.
11-3031.01	Treasurers, Controllers, and Chief Financial Officers	Ensures that institution reserves meet legal requirements.
11-3031.01	Treasurers, Controllers, and Chief Financial Officers	Interprets current policies and practices and plans and implements new operating procedures to improve efficiency and reduce costs.
11-3031.02	Financial Managers, Branch or Department	Directs and coordinates activities of workers engaged in conducting credit investigations and collecting delinquent accounts of customers.
11-3031.02	Financial Managers, Branch or Department	Directs and coordinates activities to implement institution policies, procedures, and practices concerning granting or extending lines of credit and loans.
11-3031.02	Financial Managers, Branch or Department	Prepares financial and regulatory reports required by law, regulations, and board of directors.
11-3031.02	Financial Managers, Branch or Department	Selects appropriate technique to minimize loss, such as avoidance and loss prevention and reduction.
11-3031.02	Financial Managers, Branch or Department	Directs floor operations of brokerage firm engaged in buying and selling securities at exchange.
11-3031.02	Financial Managers, Branch or Department	Evaluates effectiveness of current collection policies and procedures.
11-3031.02	Financial Managers, Branch or Department	Evaluates data pertaining to costs to plan budget.
11-3031.02	Financial Managers, Branch or Department	Monitors order flow and transactions that brokerage firm executes on floor of exchange.
11-3031.02	Financial Managers, Branch or Department	Submits delinquent accounts to attorney or outside agency for collection.
11-3031.02	Financial Managers, Branch or Department	Examines, evaluates, and processes loan applications.
11-3031.02	Financial Managers, Branch or Department	Establishes credit limitations on customer account.
11-3031.02	Financial Managers, Branch or Department	Reviews reports of securities transactions and price lists to analyze market conditions.
11-3031.02	Financial Managers, Branch or Department	Reviews collection reports to ascertain status of collections and balances outstanding.
11-3031.02	Financial Managers, Branch or Department	Directs insurance negotiations, selects insurance brokers and carriers, and places insurance.
11-3031.02	Financial Managers, Branch or Department	Establishes procedures for custody and control of assets, records, loan collateral, and securities to ensure safekeeping.
11-3031.02	Financial Managers, Branch or Department	Prepares operational and risk reports for management analysis.
11-3031.02	Financial Managers, Branch or Department	Analyzes and classifies risks as to frequency and financial impact of risk on company.
11-3031.02	Financial Managers, Branch or Department	Plans, directs, and coordinates risk and insurance programs of establishment to control risks and losses.
11-3031.02	Financial Managers, Branch or Department	Manages branch or office of financial institution.
11-3040.00	Human Resources Managers	Formulates policies and procedures for recruitment, testing, placement, classification, orientation, benefits, and labor and industrial relations.
11-3040.00	Human Resources Managers	Plans, directs, supervises, and coordinates work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations.
11-3040.00	Human Resources Managers	Directs preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies.
11-3040.00	Human Resources Managers	Evaluates and modifies benefits policies to establish competitive programs and to ensure compliance with legal requirements.
11-3040.00	Human Resources Managers	Analyzes compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.
11-3040.00	Human Resources Managers	Develops methods to improve employment policies, processes, and practices and recommends changes to management.
11-3040.00	Human Resources Managers	Prepares personnel forecast to project employment needs.
11-3040.00	Human Resources Managers	Prepares budget for personnel operations.
11-3040.00	Human Resources Managers	Prepares and delivers presentations and reports to corporate officers or other management regarding human resource management policies and practices and recommendations for change.
11-3040.00	Human Resources Managers	Negotiates bargaining agreements and resolves labor disputes.
11-3040.00	Human Resources Managers	Meets with shop stewards and supervisors to resolve grievances.
11-3040.00	Human Resources Managers	Conducts exit interviews to identify reasons for employee termination and writes separation notices.
11-3040.00	Human Resources Managers	Plans and conducts new employee orientation to foster positive attitude toward organizational objectives.
11-3040.00	Human Resources Managers	Writes directives advising department managers of organization policy in personnel matters such as equal employment opportunity, sexual harassment, and discrimination.
11-3040.00	Human Resources Managers	Studies legislation, arbitration decisions, and collective bargaining contracts to assess industry trends.
11-3040.00	Human Resources Managers	Maintains records and compiles statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.
11-3040.00	Human Resources Managers	Analyzes statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.
11-3040.00	Human Resources Managers	Represents organization at personnel-related hearings and investigations.
11-3040.00	Human Resources Managers	Contracts with vendors to provide employee services, such as canteen, transportation, or relocation service.
11-3040.00	Human Resources Managers	Investigates industrial accidents and prepares reports for insurance carrier.
11-3041.00	Compensation and Benefits Managers	Formulates policies and procedures for recruitment, testing, placement, classification, orientation, benefits, and labor and industrial relations.
11-3041.00	Compensation and Benefits Managers	Plans, directs, supervises, and coordinates work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations.
11-3041.00	Compensation and Benefits Managers	Directs preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies.
11-3041.00	Compensation and Benefits Managers	Evaluates and modifies benefits policies to establish competitive programs and to ensure compliance with legal requirements.
11-3041.00	Compensation and Benefits Managers	Prepares budget for personnel operations.
11-3041.00	Compensation and Benefits Managers	Negotiates bargaining agreements and resolves labor disputes.
11-3041.00	Compensation and Benefits Managers	Conducts exit interviews to identify reasons for employee termination and writes separation notices.
11-3041.00	Compensation and Benefits Managers	Writes directives advising department managers of organization policy in personnel matters such as equal employment opportunity, sexual harassment, and discrimination.
11-3041.00	Compensation and Benefits Managers	Maintains records and compiles statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.
11-3041.00	Compensation and Benefits Managers	Investigates industrial accidents and prepares reports for insurance carrier.
11-3041.00	Compensation and Benefits Managers	Contracts with vendors to provide employee services, such as canteen, transportation, or relocation service.
11-3041.00	Compensation and Benefits Managers	Represents organization at personnel-related hearings and investigations.
11-3041.00	Compensation and Benefits Managers	Analyzes statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.
11-3041.00	Compensation and Benefits Managers	Studies legislation, arbitration decisions, and collective bargaining contracts to assess industry trends.
11-3041.00	Compensation and Benefits Managers	Plans and conducts new employee orientation to foster positive attitude toward organizational objectives.
11-3041.00	Compensation and Benefits Managers	Meets with shop stewards and supervisors to resolve grievances.
11-3041.00	Compensation and Benefits Managers	Prepares and delivers presentations and reports to corporate officers or other management regarding human resource management policies and practices and recommendations for change.
11-3041.00	Compensation and Benefits Managers	Prepares personnel forecast to project employment needs.
11-3041.00	Compensation and Benefits Managers	Develops methods to improve employment policies, processes, and practices and recommends changes to management.
11-3041.00	Compensation and Benefits Managers	Analyzes compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.
11-3042.00	Training and Development Managers	Analyzes training needs to develop new training programs or modify and improve existing programs.
11-3042.00	Training and Development Managers	Plans and develops training procedures utilizing knowledge of relative effectiveness of individual training, classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops.
11-3042.00	Training and Development Managers	Formulates training policies and schedules, utilizing knowledge of identified training needs.
11-3042.00	Training and Development Managers	Evaluates effectiveness of training programs and instructor performance.
11-3042.00	Training and Development Managers	Develops and organizes training manuals, multimedia visual aids, and other educational materials.
11-3042.00	Training and Development Managers	Coordinates established courses with technical and professional courses provided by community schools and designates training procedures.
11-3042.00	Training and Development Managers	Develops testing and evaluation procedures.
11-3042.00	Training and Development Managers	Confers with management and supervisory personnel to identify training needs based on projected production processes, changes, and other factors.
11-3042.00	Training and Development Managers	Reviews and evaluates training and apprenticeship programs for compliance with government standards.
11-3042.00	Training and Development Managers	Prepares training budget for department or organization.
11-3042.00	Training and Development Managers	Trains instructors and supervisors in effective training techniques.
11-3042.00	Training and Development Managers	Interprets and clarifies regulatory policies governing apprenticeship training programs, and provides information and assistance to trainees and labor and management representatives.
11-3051.00	Industrial Production Managers	Directs and coordinates production, processing, distribution, and marketing activities of industrial organization.
11-3051.00	Industrial Production Managers	Reviews processing schedules and production orders to determine staffing requirements, work procedures, and duty assignments.
11-3051.00	Industrial Production Managers	Reviews plans and confers with research and support staff to develop new products and processes or the quality of existing products.
11-3051.00	Industrial Production Managers	Initiates and coordinates inventory and cost control programs.
11-3051.00	Industrial Production Managers	Develops budgets and approves expenditures for supplies, materials, and human resources.
11-3051.00	Industrial Production Managers	Examines samples of raw products or directs testing during processing to ensure finished products conform to prescribed quality standards.
11-3051.00	Industrial Production Managers	Hires, trains, evaluates, and discharges staff.
11-3051.00	Industrial Production Managers	Resolves personnel grievances.
11-3051.00	Industrial Production Managers	Prepares and maintains production reports and personnel records.
11-3051.00	Industrial Production Managers	Coordinates and recommends procedures for facility and equipment maintenance or modification.
11-3051.00	Industrial Production Managers	Negotiates materials prices with suppliers.
11-3051.00	Industrial Production Managers	Reviews operations and confers with technical or administrative staff to resolve production or processing problems.
11-3051.00	Industrial Production Managers	Analyzes production, quality control, maintenance, and other operational reports to detect production problems.
11-3061.00	Purchasing Managers	Directs and coordinates activities of personnel engaged in buying, selling, and distributing materials, equipment, machinery, and supplies.
11-3061.00	Purchasing Managers	Prepares, reviews, and processes requisitions and purchase orders for supplies and equipment.
11-3061.00	Purchasing Managers	Prepares report regarding market conditions and merchandise costs.
11-3061.00	Purchasing Managers	Analyzes market and delivery systems to determine present and future material availability.
11-3061.00	Purchasing Managers	Represents company in formulating policies and negotiating contracts with suppliers.
11-3061.00	Purchasing Managers	Develops and implements office, operations, and systems instructions, policies, and procedures.
11-3061.00	Purchasing Managers	Determines merchandise costs and formulates and coordinates merchandising policies and activities to ensure profit.
11-3061.00	Purchasing Managers	Conducts inventory and directs buyers in purchase of products, materials, and supplies.
11-3071.01	Transportation Managers	Directs and coordinates, through subordinates, activities of operations department to obtain use of equipment, facilities, and human resources.
11-3071.01	Transportation Managers	Participates in union contract negotiations and settlement of grievances.
11-3071.01	Transportation Managers	Negotiates and authorizes contracts with equipment and materials suppliers.
11-3071.01	Transportation Managers	Oversees procurement process, including research and testing of equipment, vendor contacts, and approval of requisitions.
11-3071.01	Transportation Managers	Inspects or oversees repairs and maintenance to equipment, vehicles, and facilities to enforce standards for safety, efficiency, cleanliness, and appearance.
11-3071.01	Transportation Managers	Acts as organization representative before commissions or regulatory bodies during hearings, such as to increase rates and change routes and schedules.
11-3071.01	Transportation Managers	Oversees workers assigning tariff classifications, and preparing billing according to mode of transportation and destination of shipment.
11-3071.01	Transportation Managers	Oversees process of investigation and response to customer or shipper complaints relating to operations department.
11-3071.01	Transportation Managers	Recommends or authorizes capital expenditures for acquisition of new equipment or property to increase efficiency and services of operations department.
11-3071.01	Transportation Managers	Enforces compliance of operations personnel with administrative policies, procedures, safety rules, and government regulations.
11-3071.01	Transportation Managers	Reviews transportation schedules, worker assignments and routes to ensure compliance with standards for personnel selection, safety, and union contract terms.
11-3071.01	Transportation Managers	Conducts investigations in cooperation with government agencies to determine causes of transportation accidents and to improve safety procedures.
11-3071.01	Transportation Managers	Prepares management recommendations, such as need for increasing fares, tariffs, or expansion or changes to existing schedules.
11-3071.01	Transportation Managers	Oversees activities relating to dispatching, routing, and tracking transportation vehicles, such as aircraft and railroad cars.
11-3071.01	Transportation Managers	Analyzes expenditures, and other financial reports to develop plans, policies, and budgets for increasing profits and improving services.
11-3071.01	Transportation Managers	Confers and cooperates with management and other in formulating and implementing administrative, operational and customer relations, policies and procedures.
11-3071.02	Storage and Distribution Managers	Establishes standard and emergency operating procedures for receiving, handling, storing, shipping, or salvaging products or materials.
11-3071.02	Storage and Distribution Managers	Examines products or materials to estimate quantities or weight and type of container required for storage or transport.
11-3071.02	Storage and Distribution Managers	Interacts with customers or shippers to solicit new business, answer questions about services offered or required, and investigate complaints.
11-3071.02	Storage and Distribution Managers	Prepares or directs preparation of correspondence, reports, and operations, maintenance, and safety manuals.
11-3071.02	Storage and Distribution Managers	Schedules air or surface pickup, delivery, or distribution of products or materials.
11-3071.02	Storage and Distribution Managers	Interviews, selects, and trains warehouse and supervisory personnel.
11-3071.02	Storage and Distribution Managers	Examines invoices and shipping manifests for conformity to tariff and customs regulations and contacts customs officials to effect release of shipments.
11-3071.02	Storage and Distribution Managers	Reviews invoices, work orders, consumption reports, and demand forecasts to estimate peak delivery periods and issue work assignments.
11-3071.02	Storage and Distribution Managers	Supervises the activities of worker engaged in receiving, storing, testing, and shipping products or materials.
11-3071.02	Storage and Distribution Managers	Inspects physical condition of warehouse and equipment and prepares work orders for testing, maintenance, or repair.
11-3071.02	Storage and Distribution Managers	Develops and implements plans for facility modification or expansion, such as equipment purchase or changes in space allocation or structural design.
11-3071.02	Storage and Distribution Managers	Negotiates contracts, settlements, and freight-handling agreements to resolve problems between foreign and domestic shippers.
11-3071.02	Storage and Distribution Managers	Plans, develops, and implements warehouse safety and security programs and activities.
11-3071.02	Storage and Distribution Managers	Confers with department heads to coordinate warehouse activities, such as production, sales, records control, and purchasing.
11-9011.01	Nursery and Greenhouse Managers	Manages nursery to grow horticultural plants for sale to trade or retail customers, for display or exhibition, or for research.
11-9011.01	Nursery and Greenhouse Managers	Grows horticultural plants under controlled conditions hydroponically.
11-9011.01	Nursery and Greenhouse Managers	Considers such factors as whether plants need hothouse/greenhouse or natural weather growing conditions.
11-9011.01	Nursery and Greenhouse Managers	Determines type and quantity of horticultural plants to be grown, such as trees, shrubs, flowers, ornamental plants, or vegetables, based on budget, projected sales volume, or executive directive.
11-9011.01	Nursery and Greenhouse Managers	Hires workers and directs supervisors and workers planting seeds, controlling plant growth and disease, potting, or cutting plants for marketing.
11-9011.01	Nursery and Greenhouse Managers	Selects and purchases seed, plant nutrients, and disease control chemicals.
11-9011.01	Nursery and Greenhouse Managers	Confers with horticultural personnel in planning facility renovations or additions.
11-9011.01	Nursery and Greenhouse Managers	Negotiates contracts for lease of lands or trucks or for purchase of trees.
11-9011.01	Nursery and Greenhouse Managers	Coordinates clerical, record keeping, inventory, requisition, and marketing activities.
11-9011.01	Nursery and Greenhouse Managers	Tours work areas to observe work being done, to inspect crops, and to evaluate plant and soil conditions.
11-9011.02	Agricultural Crop Farm Managers	Directs and coordinates worker activities, such as planting, irrigation, chemical application, harvesting, grading, payroll, and record keeping.
11-9011.02	Agricultural Crop Farm Managers	Contracts with farmers or independent owners for raising of crops or for management of crop production.
11-9011.02	Agricultural Crop Farm Managers	Coordinates growing activities with those of engineering, equipment maintenance, packing houses, and other related departments.
11-9011.02	Agricultural Crop Farm Managers	Analyzes market conditions to determine acreage allocations.
11-9011.02	Agricultural Crop Farm Managers	Confers with purchasers and arranges for sale of crops.
11-9011.02	Agricultural Crop Farm Managers	Records information, such as production, farm management practices, and parent stock, and prepares financial and operational reports.
11-9011.02	Agricultural Crop Farm Managers	Determines procedural changes in drying, grading, storage, and shipment for greater efficiency and accuracy.
11-9011.02	Agricultural Crop Farm Managers	Analyzes soil to determine type and quantity of fertilizer required for maximum production.
11-9011.02	Agricultural Crop Farm Managers	Inspects equipment to ensure proper functioning.
11-9011.02	Agricultural Crop Farm Managers	Inspects orchards and fields to determine maturity dates of crops or to estimate potential crop damage from weather.
11-9011.02	Agricultural Crop Farm Managers	Plans and directs development and production of hybrid plant varieties with high yield or disease and insect resistant characteristics.
11-9011.02	Agricultural Crop Farm Managers	Purchases machinery, equipment, and supplies, such as tractors, seed, fertilizer, and chemicals.
11-9011.02	Agricultural Crop Farm Managers	Hires, discharges, transfers, and promotes workers, enforces safety regulations, and interprets policies.
11-9011.02	Agricultural Crop Farm Managers	Negotiates with bank officials to obtain credit from bank.
11-9011.02	Agricultural Crop Farm Managers	Evaluates financial statements and makes budget proposals.
11-9011.03	Fish Hatchery Managers	Determines, administers, and executes policies relating to administration, standards of hatchery operations, and facility maintenance.
11-9011.03	Fish Hatchery Managers	Oversees trapping and spawning of fish, egg incubation, and fry rearing, applying knowledge of management and fish culturing techniques.
11-9011.03	Fish Hatchery Managers	Oversees movement of mature fish to lakes, ponds, streams or commercial tanks.
11-9011.03	Fish Hatchery Managers	Collects information regarding techniques for collecting, fertilizing, incubating spawn, and treatment of spawn and fry.
11-9011.03	Fish Hatchery Managers	Accounts for and dispenses funds.
11-9011.03	Fish Hatchery Managers	Prepares reports required by state and federal laws.
11-9011.03	Fish Hatchery Managers	Prepares budget reports.
11-9011.03	Fish Hatchery Managers	Confers with biologists and other fishery personnel to obtain data concerning fish habits, food, and environmental requirements.
11-9011.03	Fish Hatchery Managers	Approves employment and discharge of employees, signs payrolls, and performs personnel duties.
11-9012.00	Farmers and Ranchers	Harvests crops and collects specialty products, such as royal jelly from queen bee cells and honey from honeycombs.
11-9012.00	Farmers and Ranchers	Sets up and operates farm machinery to till soil, plant, prune, fertilize, apply herbicides and pesticides, and haul harvested crops.
11-9012.00	Farmers and Ranchers	Inspects growing environment to maintain optimum growing or breeding conditions.
11-9012.00	Farmers and Ranchers	Plans harvesting considering ripeness and maturity of crop and weather conditions.
11-9012.00	Farmers and Ranchers	Breeds and raises stock, such as animals, poultry, honeybees, or earthworms.
11-9012.00	Farmers and Ranchers	Arranges with buyers for sale and shipment of crops.
11-9012.00	Farmers and Ranchers	Hires and directs workers engaged in planting, cultivating, irrigating, harvesting, and marketing crops and raising livestock.
11-9012.00	Farmers and Ranchers	Assembles, positions, and secures structures, such as trellises or beehives, using hand tools.
11-9012.00	Farmers and Ranchers	Lubricates, adjusts, and makes minor repairs on farm equipment, using oilcan, grease gun, and hand tools.
11-9012.00	Farmers and Ranchers	Maintains employee and financial records.
11-9012.00	Farmers and Ranchers	Grades and packages crop for marketing.
11-9012.00	Farmers and Ranchers	Demonstrates and explains farm work techniques and safety regulations to workers.
11-9012.00	Farmers and Ranchers	Installs irrigation systems and irrigates fields.
11-9012.00	Farmers and Ranchers	Grows out of season crops in greenhouse or early crops in cold-frame bed, or buds and grafts plant stock.
11-9012.00	Farmers and Ranchers	Selects and purchases supplies and equipment, such as seed, tree stock, fertilizers, farm machinery, implements, livestock, and feed.
11-9012.00	Farmers and Ranchers	Destroys diseased or superfluous crops, such as queen bee cells, bee colonies, parasites, and vermin.
11-9012.00	Farmers and Ranchers	Determines kind and quantity of crops or livestock to be raised, according to market conditions, weather, and farm size.
