Commodity Code,O*NET-SOC Code,O*NET-SOC Title,T2 Type,T2 Example,Commodity Title
43232110,"11-1021.00","General and Operations Managers","Technology","Spreadsheet software","Spreadsheet software"
43232303,"11-1021.00","General and Operations Managers","Technology","Vanguard Software Vanguard Sales Manager","Customer relationship management CRM software"
43232104,"11-1021.00","General and Operations Managers","Technology","Word processing software","Word processing software"
43211508,"11-2011.00","Advertising and Promotions Managers","Tools","Personal computers","Personal computers"
43211504,"11-2011.00","Advertising and Promotions Managers","Tools","Personal digital assistants PDA","Personal digital assistant PDAs or organizers"
43211711,"11-2011.00","Advertising and Promotions Managers","Tools","Scanners","Scanners"
43232107,"11-2011.00","Advertising and Promotions Managers","Technology","Adobe Systems Adobe Dreamweaver","Web page creation and editing software"
43232102,"11-2011.00","Advertising and Promotions Managers","Technology","Adobe Systems Adobe Illustrator","Graphics or photo imaging software"
43232305,"11-2011.00","Advertising and Promotions Managers","Technology","AdRelevance software","Data base reporting software"
43231507,"11-2011.00","Advertising and Promotions Managers","Technology","Brainworks software","Project management software"
43232605,"11-2011.00","Advertising and Promotions Managers","Technology","Business analysis software","Analytical or scientific software"
43232112,"11-2011.00","Advertising and Promotions Managers","Technology","Desktop publishing software","Desktop publishing software"
43231507,"11-2011.00","Advertising and Promotions Managers","Technology","FlowMaster software","Project management software"
43232102,"11-2011.00","Advertising and Promotions Managers","Technology","Graphics software","Graphics or photo imaging software"
43232605,"11-2011.00","Advertising and Promotions Managers","Technology","Mediamix software","Analytical or scientific software"
43232306,"11-2011.00","Advertising and Promotions Managers","Technology","Microsoft Access","Data base user interface and query software"
43232110,"11-2011.00","Advertising and Promotions Managers","Technology","Microsoft Excel","Spreadsheet software"
43232104,"11-2011.00","Advertising and Promotions Managers","Technology","Microsoft Word","Word processing software"
43232112,"11-2011.00","Advertising and Promotions Managers","Technology","Quark software","Desktop publishing software"
43231507,"11-2011.00","Advertising and Promotions Managers","Technology","Rain Catcher Inspire","Project management software"
43232705,"11-2011.00","Advertising and Promotions Managers","Technology","Web browser software","Internet browser software"
43211507,"11-2021.00","Marketing Managers","Tools","Desktop computers","Desktop computers"
43211508,"11-2021.00","Marketing Managers","Tools","Personal computers","Personal computers"
43211711,"11-2021.00","Marketing Managers","Tools","Scanners","Scanners"
43232313,"11-2021.00","Marketing Managers","Technology","Armand Morin MultiTrack Generator","Transaction server software"
43231507,"11-2021.00","Marketing Managers","Technology","Atlas OnePoint GO TOAST","Project management software"
43232306,"11-2021.00","Marketing Managers","Technology","ClearEDGE software","Data base user interface and query software"
43232605,"11-2021.00","Marketing Managers","Technology","ClickTracks software","Analytical or scientific software"
43232306,"11-2021.00","Marketing Managers","Technology","Databox software","Data base user interface and query software"
43233501,"11-2021.00","Marketing Managers","Technology","Email software","Electronic mail software"
43232102,"11-2021.00","Marketing Managers","Technology","Graphic presentation software","Graphics or photo imaging software"
43232306,"11-2021.00","Marketing Managers","Technology","Microsoft Access","Data base user interface and query software"
43233501,"11-2021.00","Marketing Managers","Technology","Microsoft Outlook","Electronic mail software"
43232106,"11-2021.00","Marketing Managers","Technology","Microsoft PowerPoint","Presentation software"
43232112,"11-2021.00","Marketing Managers","Technology","Microsoft Publisher","Desktop publishing software"
43232605,"11-2021.00","Marketing Managers","Technology","Nedstat Sitestat","Analytical or scientific software"
43232303,"11-2021.00","Marketing Managers","Technology","Sage Software SalesLogix","Customer relationship management CRM software"
43232306,"11-2021.00","Marketing Managers","Technology","Structured query language SQL","Data base user interface and query software"
43232705,"11-2021.00","Marketing Managers","Technology","Web browser software","Internet browser software"
43211507,"11-2022.00","Sales Managers","Tools","Desktop computers","Desktop computers"
43211508,"11-2022.00","Sales Managers","Tools","Personal computers","Personal computers"
43211711,"11-2022.00","Sales Managers","Tools","Scanners","Scanners"
43232303,"11-2022.00","Sales Managers","Technology","Avidian Technologies Prophet","Customer relationship management CRM software"
43232108,"11-2022.00","Sales Managers","Technology","Contact management software","Calendar and scheduling software"
43232306,"11-2022.00","Sales Managers","Technology","Data entry software","Data base user interface and query software"
43232303,"11-2022.00","Sales Managers","Technology","Eden Sales Manager","Customer relationship management CRM software"
43233501,"11-2022.00","Sales Managers","Technology","IBM Lotus Notes","Electronic mail software"
43232306,"11-2022.00","Sales Managers","Technology","Microsoft Access","Data base user interface and query software"
43231513,"11-2022.00","Sales Managers","Technology","Microsoft Office","Office suite software"
43232105,"11-2022.00","Sales Managers","Technology","Microsoft Office Visio","Charting software"
43231507,"11-2022.00","Sales Managers","Technology","Microsoft Project","Project management software"
43232303,"11-2022.00","Sales Managers","Technology","NetSuite NetCRM","Customer relationship management CRM software"
43232303,"11-2022.00","Sales Managers","Technology","Sage Software ACT!","Customer relationship management CRM software"
43232108,"11-2022.00","Sales Managers","Technology","Scheduling software","Calendar and scheduling software"
43232303,"11-2022.00","Sales Managers","Technology","Vanguard Software Vanguard Sales Manager","Customer relationship management CRM software"
43211507,"11-2031.00","Public Relations Managers","Tools","Desktop computers","Desktop computers"
44101501,"11-2031.00","Public Relations Managers","Tools","Photocopying equipment","Photocopiers"
43232107,"11-2031.00","Public Relations Managers","Technology","Adobe Systems Adobe Dreamweaver","Web page creation and editing software"
43232107,"11-2031.00","Public Relations Managers","Technology","Adobe Systems Adobe Flash Player","Web page creation and editing software"
43232102,"11-2031.00","Public Relations Managers","Technology","Adobe Systems Adobe Illustrator","Graphics or photo imaging software"
43232112,"11-2031.00","Public Relations Managers","Technology","Adobe Systems Adobe PageMaker","Desktop publishing software"
43232103,"11-2031.00","Public Relations Managers","Technology","Apple Final Cut Pro","Video creation and editing software"
43232103,"11-2031.00","Public Relations Managers","Technology","Apple iMovie","Video creation and editing software"
43233501,"11-2031.00","Public Relations Managers","Technology","Email software","Electronic mail software"
43232306,"11-2031.00","Public Relations Managers","Technology","Microsoft Access","Data base user interface and query software"
43232110,"11-2031.00","Public Relations Managers","Technology","Microsoft Excel","Spreadsheet software"
43231507,"11-2031.00","Public Relations Managers","Technology","Microsoft Project","Project management software"
43232104,"11-2031.00","Public Relations Managers","Technology","Microsoft Word","Word processing software"
43232112,"11-2031.00","Public Relations Managers","Technology","QuarkXpress","Desktop publishing software"
43232705,"11-2031.00","Public Relations Managers","Technology","Web browser software","Internet browser software"
43211507,"11-3011.00","Administrative Services Managers","Tools","Desktop computers","Desktop computers"
43211503,"11-3011.00","Administrative Services Managers","Tools","Laptop computers","Notebook computers"
43211503,"11-3011.00","Administrative Services Managers","Tools","Notebook computers","Notebook computers"
44101501,"11-3011.00","Administrative Services Managers","Tools","Photocopying equipment","Photocopiers"
43211509,"11-3011.00","Administrative Services Managers","Tools","Tablet computers","Tablet computers"
43232305,"11-3011.00","Administrative Services Managers","Technology","Business Objects Crystal Reports","Data base reporting software"
43233501,"11-3011.00","Administrative Services Managers","Technology","Email software","Electronic mail software"
43231601,"11-3011.00","Administrative Services Managers","Technology","Intuit QuickBooks","Accounting software"
43232306,"11-3011.00","Administrative Services Managers","Technology","Microsoft Access","Data base user interface and query software"
43233501,"11-3011.00","Administrative Services Managers","Technology","Microsoft Outlook","Electronic mail software"
43232106,"11-3011.00","Administrative Services Managers","Technology","Microsoft PowerPoint","Presentation software"
43231507,"11-3011.00","Administrative Services Managers","Technology","Microsoft Project","Project management software"
43232112,"11-3011.00","Administrative Services Managers","Technology","Microsoft Publisher","Desktop publishing software"
43232104,"11-3011.00","Administrative Services Managers","Technology","Microsoft Word","Word processing software"
43231602,"11-3011.00","Administrative Services Managers","Technology","Oracle PeopleSoft","Enterprise resource planning ERP software"
43231601,"11-3011.00","Administrative Services Managers","Technology","Sage Software Peachtree software","Accounting software"
43212105,"11-3021.00","Computer and Information Systems Managers","Tools","Computer printers","Laser printers"
43211501,"11-3021.00","Computer and Information Systems Managers","Tools","Computer servers","Computer servers"
44101502,"11-3021.00","Computer and Information Systems Managers","Tools","Fax Machines","Facsimile machines"
43222625,"11-3021.00","Computer and Information Systems Managers","Tools","File servers","Access servers"
43201801,"11-3021.00","Computer and Information Systems Managers","Tools","Floppy drives","Floppy drives"
43201803,"11-3021.00","Computer and Information Systems Managers","Tools","Hard disk drives","Hard disk drives"
43212114,"11-3021.00","Computer and Information Systems Managers","Tools","Inkjet Printers","Digital image printers"
43211501,"11-3021.00","Computer and Information Systems Managers","Tools","Minicomputers","Computer servers"
41113711,"11-3021.00","Computer and Information Systems Managers","Tools","Network analyzers","Network analyzers"
43201537,"11-3021.00","Computer and Information Systems Managers","Tools","Print servers","Print servers"
27111701,"11-3021.00","Computer and Information Systems Managers","Tools","Screwdrivers","Screwdrivers"
43211501,"11-3021.00","Computer and Information Systems Managers","Tools","Storage servers","Computer servers"
43222612,"11-3021.00","Computer and Information Systems Managers","Tools","Switches","Network switches"
43221522,"11-3021.00","Computer and Information Systems Managers","Tools","Teleconferencing equipment","Teleconference equipment"
43211502,"11-3021.00","Computer and Information Systems Managers","Tools","Workstations","High end computer servers"
43232112,"11-3021.00","Computer and Information Systems Managers","Technology","Adobe Systems Adobe Distiller","Desktop publishing software"
43232408,"11-3021.00","Computer and Information Systems Managers","Technology","Adobe Systems Adobe Flex","Web platform development software"
43232304,"11-3021.00","Computer and Information Systems Managers","Technology","AlphaFour software","Data base management system software"
43232106,"11-3021.00","Computer and Information Systems Managers","Technology","Apple iWork Keynote","Presentation software"
43233004,"11-3021.00","Computer and Information Systems Managers","Technology","Apple Macintosh OS/X","Operating system software"
43232701,"11-3021.00","Computer and Information Systems Managers","Technology","BEA WebLogic Server","Application server software"
43231601,"11-3021.00","Computer and Information Systems Managers","Technology","Billing software","Accounting software"
43232402,"11-3021.00","Computer and Information Systems Managers","Technology","Borland Delphi software","Development environment software"
43232405,"11-3021.00","Computer and Information Systems Managers","Technology","Borland Paradox","Object or component oriented development software"
43232901,"11-3021.00","Computer and Information Systems Managers","Technology","Citrix software","Access software"
43232801,"11-3021.00","Computer and Information Systems Managers","Technology","Dartware InterMapper","Network monitoring software"
43232304,"11-3021.00","Computer and Information Systems Managers","Technology","Database management software","Data base management system software"
43232112,"11-3021.00","Computer and Information Systems Managers","Technology","Desktop publishing software","Desktop publishing software"
43232408,"11-3021.00","Computer and Information Systems Managers","Technology","Dynamic hypertext markup language DHTML","Web platform development software"
43231602,"11-3021.00","Computer and Information Systems Managers","Technology","Enterprise resource planning ERP software","Enterprise resource planning ERP software"
43233001,"11-3021.00","Computer and Information Systems Managers","Technology","Ftp program software","Filesystem software"
43232102,"11-3021.00","Computer and Information Systems Managers","Technology","Graphics editor software","Graphics or photo imaging software"
43232905,"11-3021.00","Computer and Information Systems Managers","Technology","LAN software","LAN software"
43232901,"11-3021.00","Computer and Information Systems Managers","Technology","Mac HelpMate","Access software"
43232402,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft .NET Framework","Development environment software"
43232304,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft Access","Data base management system software"
43232408,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft Active Server Pages ASP","Web platform development software"
43231602,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft Dynamics AX","Enterprise resource planning ERP software"
43232110,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft Excel","Spreadsheet software"
43232107,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft Front Page","Web page creation and editing software"
43233501,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft Outlook","Electronic mail software"
43232106,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft PowerPoint","Presentation software"
43232402,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft Visual Basic Scripting Edition VBScript","Development environment software"
43232311,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft Visual FoxPro","Object oriented data base management software"
43233004,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft Windows","Operating system software"
43232701,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft Windows Server","Application server software"
43232104,"11-3021.00","Computer and Information Systems Managers","Technology","Microsoft Word","Word processing software"
43232910,"11-3021.00","Computer and Information Systems Managers","Technology","Mobile wireless network infrastructure software","Wireless software"
43233002,"11-3021.00","Computer and Information Systems Managers","Technology","Novell network software","Network operation system software"
43231602,"11-3021.00","Computer and Information Systems Managers","Technology","Oracle JD Edwards OneWorld","Enterprise resource planning ERP software"
43232304,"11-3021.00","Computer and Information Systems Managers","Technology","Oracle software","Data base management system software"
43232801,"11-3021.00","Computer and Information Systems Managers","Technology","Performance monitoring tools","Network monitoring software"
43232408,"11-3021.00","Computer and Information Systems Managers","Technology","PHP: Hypertext Preprocessor","Web platform development software"
43232303,"11-3021.00","Computer and Information Systems Managers","Technology","Provisioning software","Customer relationship management CRM software"
43233501,"11-3021.00","Computer and Information Systems Managers","Technology","QUALCOMM Eudora","Electronic mail software"
43232408,"11-3021.00","Computer and Information Systems Managers","Technology","Ruby on Rails","Web platform development software"
43232303,"11-3021.00","Computer and Information Systems Managers","Technology","Siebel Server Sync","Customer relationship management CRM software"
43232804,"11-3021.00","Computer and Information Systems Managers","Technology","SolarWinds software","Administration software"
43232405,"11-3021.00","Computer and Information Systems Managers","Technology","Sun Microsystems Java","Object or component oriented development software"
43233001,"11-3021.00","Computer and Information Systems Managers","Technology","Symantec Veritas Volume Manager","Filesystem software"
43232404,"11-3021.00","Computer and Information Systems Managers","Technology","Tk software","Graphical user interface development software"
43233004,"11-3021.00","Computer and Information Systems Managers","Technology","UNIX","Operating system software"
43232911,"11-3021.00","Computer and Information Systems Managers","Technology","Zephyr EXTRA! Terminal Emulation","Network connectivity terminal emulation software"
43211507,"11-3031.01","Treasurers and Controllers","Tools","Desktop computers","Desktop computers"
43211508,"11-3031.01","Treasurers and Controllers","Tools","Personal computers","Personal computers"
43211509,"11-3031.01","Treasurers and Controllers","Tools","Tablet computers","Tablet computers"
43231601,"11-3031.01","Treasurers and Controllers","Technology","Accounting software","Accounting software"
43232110,"11-3031.01","Treasurers and Controllers","Technology","Corel QuattroPro","Spreadsheet software"
43231602,"11-3031.01","Treasurers and Controllers","Technology","Deltek software","Enterprise resource planning ERP software"
43231602,"11-3031.01","Treasurers and Controllers","Technology","Enterprise resource planning ERP software","Enterprise resource planning ERP software"
43231604,"11-3031.01","Treasurers and Controllers","Technology","FRx software","Financial analysis software"
43231602,"11-3031.01","Treasurers and Controllers","Technology","Great Plains Dynamics software","Enterprise resource planning ERP software"
43231601,"11-3031.01","Treasurers and Controllers","Technology","Hyperion Enterprise","Accounting software"
43231601,"11-3031.01","Treasurers and Controllers","Technology","Intuit QuickBooks","Accounting software"
43232110,"11-3031.01","Treasurers and Controllers","Technology","Microsoft Excel","Spreadsheet software"
43231602,"11-3031.01","Treasurers and Controllers","Technology","Microsoft Great Plains","Enterprise resource planning ERP software"
43232106,"11-3031.01","Treasurers and Controllers","Technology","Microsoft PowerPoint","Presentation software"
43231601,"11-3031.01","Treasurers and Controllers","Technology","MYOB Premier Accounting Small Business Suite","Accounting software"
43231604,"11-3031.01","Treasurers and Controllers","Technology","Oracle Financials","Financial analysis software"
43231602,"11-3031.01","Treasurers and Controllers","Technology","Oracle PeopleSoft","Enterprise resource planning ERP software"
43232306,"11-3031.01","Treasurers and Controllers","Technology","Oracle software","Data base user interface and query software"
43231601,"11-3031.01","Treasurers and Controllers","Technology","Sage MIP Fund Accounting","Accounting software"
43211507,"11-3031.02","Financial Managers, Branch or Department","Tools","Desktop computers","Desktop computers"
43211508,"11-3031.02","Financial Managers, Branch or Department","Tools","Personal computers","Personal computers"
43211711,"11-3031.02","Financial Managers, Branch or Department","Tools","Scanners","Scanners"
43231601,"11-3031.02","Financial Managers, Branch or Department","Technology","Accounts receivable software","Accounting software"
43231604,"11-3031.02","Financial Managers, Branch or Department","Technology","Credit management software","Financial analysis software"
43233501,"11-3031.02","Financial Managers, Branch or Department","Technology","Email software","Electronic mail software"
43231602,"11-3031.02","Financial Managers, Branch or Department","Technology","Enterprise resource planning ERP credit management software","Enterprise resource planning ERP software"
43232306,"11-3031.02","Financial Managers, Branch or Department","Technology","Microsoft Access","Data base user interface and query software"
43232110,"11-3031.02","Financial Managers, Branch or Department","Technology","Microsoft Excel","Spreadsheet software"
43231513,"11-3031.02","Financial Managers, Branch or Department","Technology","Microsoft Office","Office suite software"
43233501,"11-3031.02","Financial Managers, Branch or Department","Technology","Microsoft Outlook","Electronic mail software"
43232110,"11-3031.02","Financial Managers, Branch or Department","Technology","Spreadsheet software","Spreadsheet software"
43211507,"11-3040.00","Human Resources Managers","Tools","Desktop computers","Desktop computers"
43211711,"11-3040.00","Human Resources Managers","Tools","Scanners","Scanners"
43232105,"11-3040.00","Human Resources Managers","Technology","AASoftTech Web Organization Chart","Charting software"
43231605,"11-3040.00","Human Resources Managers","Technology","ADP ezLaborManager","Time accounting software"
43231505,"11-3040.00","Human Resources Managers","Technology","ADP HR/Profile","Human resources software"
43231605,"11-3040.00","Human Resources Managers","Technology","ADP Pay eXpert","Time accounting software"
43231505,"11-3040.00","Human Resources Managers","Technology","Applicant Tracking Systems ATS software","Human resources software"
43231505,"11-3040.00","Human Resources Managers","Technology","Authoria Adviser","Human resources software"
43232306,"11-3040.00","Human Resources Managers","Technology","Automation Centre Personnel Tracker","Data base user interface and query software"
43231605,"11-3040.00","Human Resources Managers","Technology","Data Management TimeClock Plus software","Time accounting software"
43231505,"11-3040.00","Human Resources Managers","Technology","Focus software","Human resources software"
43231505,"11-3040.00","Human Resources Managers","Technology","Halogen e360","Human resources software"
43231505,"11-3040.00","Human Resources Managers","Technology","Inception Technologies InfiniTime","Human resources software"
43231505,"11-3040.00","Human Resources Managers","Technology","Infor SSA Human Capital Management","Human resources software"
43231605,"11-3040.00","Human Resources Managers","Technology","Kronos Workforce Timekeeper","Time accounting software"
43232306,"11-3040.00","Human Resources Managers","Technology","Microsoft Access","Data base user interface and query software"
43233501,"11-3040.00","Human Resources Managers","Technology","Microsoft Outlook","Electronic mail software"
43232106,"11-3040.00","Human Resources Managers","Technology","Microsoft PowerPoint","Presentation software"
43232104,"11-3040.00","Human Resources Managers","Technology","Microsoft Word","Word processing software"
43231505,"11-3040.00","Human Resources Managers","Technology","Midrange Software XpertHire","Human resources software"
43231505,"11-3040.00","Human Resources Managers","Technology","QuestionMark software","Human resources software"
43231505,"11-3040.00","Human Resources Managers","Technology","Qwiz software","Human resources software"
43231602,"11-3040.00","Human Resources Managers","Technology","SAP software","Enterprise resource planning ERP software"
43231505,"11-3040.00","Human Resources Managers","Technology","Savitr RecruitX","Human resources software"
43231505,"11-3040.00","Human Resources Managers","Technology","Tesseract Human Resources Manager","Human resources software"
43231505,"11-3040.00","Human Resources Managers","Technology","UniFocus Watson Human Resources Manager","Human resources software"
43232705,"11-3040.00","Human Resources Managers","Technology","Web browser software","Internet browser software"
43232202,"11-3040.00","Human Resources Managers","Technology","WinOcular software","Document management software"
43211507,"11-3041.00","Compensation and Benefits Managers","Tools","Desktop computers","Desktop computers"
43211503,"11-3041.00","Compensation and Benefits Managers","Tools","Notebook computers","Notebook computers"
43211508,"11-3041.00","Compensation and Benefits Managers","Tools","Personal computers","Personal computers"
43211711,"11-3041.00","Compensation and Benefits Managers","Tools","Scanners","Scanners"
43201813,"11-3041.00","Compensation and Benefits Managers","Tools","Universal serial bus USB flash drives","High capacity removable media drives"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","!Trak-it Solutions !Trak-it HR","Human resources software"
43232102,"11-3041.00","Compensation and Benefits Managers","Technology","Adobe Systems Adobe Illustrator","Graphics or photo imaging software"
43232112,"11-3041.00","Compensation and Benefits Managers","Technology","Adobe Systems Adobe PageMaker","Desktop publishing software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","ADP HR/Benefits Solution","Human resources software"
43232305,"11-3041.00","Compensation and Benefits Managers","Technology","AdRelevance software","Data base reporting software"
43232103,"11-3041.00","Compensation and Benefits Managers","Technology","Apple iMovie","Video creation and editing software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","Ascentis HR","Human resources software"
43231507,"11-3041.00","Compensation and Benefits Managers","Technology","Atlas OnePoint software","Project management software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","Auxillium West HRnetSource","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","Datamatics V-Core HR","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","DenoSys HRiStragegy","Human resources software"
43232202,"11-3041.00","Compensation and Benefits Managers","Technology","Document management software","Document management software"
43231602,"11-3041.00","Compensation and Benefits Managers","Technology","Enterprise resource planning ERP software","Enterprise resource planning ERP software"
43231507,"11-3041.00","Compensation and Benefits Managers","Technology","FlowMaster software","Project management software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","Genesys PeopleComeFirst","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","HarrisData Human Resources Information System HRIS","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","HRMS Solutions iVantage","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","Human resource information system HRIS software","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","iEmployee","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","Jenss & Associates CompKeeper","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","Mangrove Software HR20","Human resources software"
43232605,"11-3041.00","Compensation and Benefits Managers","Technology","Mediamix software","Analytical or scientific software"
43232306,"11-3041.00","Compensation and Benefits Managers","Technology","Microsoft Access","Data base user interface and query software"
43231513,"11-3041.00","Compensation and Benefits Managers","Technology","Microsoft Office","Office suite software"
43233501,"11-3041.00","Compensation and Benefits Managers","Technology","Microsoft Outlook","Electronic mail software"
43232106,"11-3041.00","Compensation and Benefits Managers","Technology","Microsoft PowerPoint","Presentation software"
43231507,"11-3041.00","Compensation and Benefits Managers","Technology","Microsoft Project","Project management software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","NOW Solutions emPath","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","NuView Systems NuViewHR","Human resources software"
43231602,"11-3041.00","Compensation and Benefits Managers","Technology","Oracle E-Business Suite","Enterprise resource planning ERP software"
43231602,"11-3041.00","Compensation and Benefits Managers","Technology","Oracle PeopleSoft","Enterprise resource planning ERP software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","PDS Vista HRMS","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","PerfectSoftware PerfectHR","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","PSTek software","Human resources software"
43232112,"11-3041.00","Compensation and Benefits Managers","Technology","Quark software","Desktop publishing software"
43231507,"11-3041.00","Compensation and Benefits Managers","Technology","Rain Catcher Inspire","Project management software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","Saigun Technologies EmpXtrack","Human resources software"
43231602,"11-3041.00","Compensation and Benefits Managers","Technology","SAP software","Enterprise resource planning ERP software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","Trigon Road Forte Leave Management","Human resources software"
43231505,"11-3041.00","Compensation and Benefits Managers","Technology","Ultimate Software UltiPro","Human resources software"
43232705,"11-3041.00","Compensation and Benefits Managers","Technology","Web browser software","Internet browser software"
43211503,"11-3042.00","Training and Development Managers","Tools","Laptop computers","Notebook computers"
52161543,"11-3042.00","Training and Development Managers","Tools","MP3 players","MP3 Players or Recorders"
43211508,"11-3042.00","Training and Development Managers","Tools","Personal computers","Personal computers"
45111902,"11-3042.00","Training and Development Managers","Tools","Videoconferencing equipment","Videoconferencing systems"
43232107,"11-3042.00","Training and Development Managers","Technology","Adobe Systems Adobe Dreamweaver","Web page creation and editing software"
43232107,"11-3042.00","Training and Development Managers","Technology","Adobe Systems Adobe Flash Player","Web page creation and editing software"
43232102,"11-3042.00","Training and Development Managers","Technology","Adobe Systems Adobe Illustrator","Graphics or photo imaging software"
43232106,"11-3042.00","Training and Development Managers","Technology","Adobe Systems Adobe Presenter","Presentation software"
43232502,"11-3042.00","Training and Development Managers","Technology","AgileView Software SmartView","Computer based training software"
43232502,"11-3042.00","Training and Development Managers","Technology","Articulate Rapid E-Learning Studio","Computer based training software"
43232502,"11-3042.00","Training and Development Managers","Technology","Blatant Media Absorb LMS","Computer based training software"
43232502,"11-3042.00","Training and Development Managers","Technology","Computer Generated Solutions Learning Management System","Computer based training software"
