O*NET-SOC Code,Task,Category,Original Task ID,Original Task,Write-in Total,Date,Source
"17-1012.00","Seek new work opportunities through marketing and writing proposals.","New",,,6,"03/2003","Incumbent"
"17-1022.00","Testify as an expert witness in court cases on land survey issues, such as property boundaries.","New",,,6,"06/2008","Occupational Expert"
"17-2031.00","Conduct preventative maintenance on equipment.","New",,,8,"06/2006","Incumbent"
"17-2031.00","Conduct training/in-services to educate clinicians, staff, and personnel on proper use of equipment.","New",,,12,"06/2006","Incumbent"
"17-2031.00","Install, adjust, maintain, repair, and/or provide technical support for biomedical equipment.","Revision",8969,"Install, adjust, maintain, and/or repair biomedical equipment.",11,"06/2006","Incumbent"
"17-2031.00","Keep documentation of service histories on all biomedical equipment.","New",,,7,"06/2006","Incumbent"
"17-2031.00","Manage team of engineers by creating schedules, tracking inventory, creating and utilizing budgets, and overseeing contract obligations and deadlines.","New",,,16,"06/2006","Incumbent"
"17-2031.00","Write documents describing protocols, policies, standards for use, maintenance, and repair of medical equipment.","New",,,5,"06/2006","Incumbent"
"17-2041.00","Evaluate chemical equipment and processes to identify ways to optimize performance and to ensure compliance with safety and environmental regulations.","New",,,15,"12/2004","Incumbent"
"17-2041.00","Perform tests and monitor performance of processes throughout stages of production to determine degree of control over variables such as temperature, density, specific gravity, and pressure.","Revision",3551,"Perform tests throughout stages of production to determine degree of control over variables, including temperature, density, specific gravity, and pressure.",16,"12/2004","Incumbent"
"17-2041.00","Troubleshoot problems with chemical manufacturing processes.","New",,,6,"12/2004","Incumbent"
"17-2111.02","Prepare and write reports detailing specific fire prevention and protections issues such as work performed, revised standards/codes, and proposed review of schedules.","Revision",8985,"Prepare and write reports detailing specific fire prevention and protection issues such as work performed and proposed review schedules.",6,"06/2006","Occupational Expert"
"17-2111.03","Develop industry standards of product safety.","New",,,4,"06/2007","Occupational Expert"
"17-2111.03","Evaluate product designs for safety.","New",,,7,"06/2007","Occupational Expert"
"17-2111.03","Provide expert testimony in litigation cases.","New",,,4,"06/2007","Occupational Expert"
"17-2112.00","Confer with clients, vendors, staff, and management personnel regarding purchases, product and production specifications, manufacturing capabilities, and project status.","Revision",1397,"Confer with vendors, staff, and management personnel regarding purchases, procedures, product specifications, manufacturing capabilities, and project status.",5,"07/2004","Incumbent"
"17-2112.00","Coordinate and implement quality control objectives, activities, and procedures to resolve production problems, maximize product reliability, and minimize costs.","Revision",1396,"Coordinate quality control objectives and activities to resolve production problems, maximize product reliability, and minimize cost.",8,"07/2004","Incumbent"
"17-2112.00","Estimate production costs, cost saving methods, and the effects of product design changes on expenditures for management review, action, and control.","Revision",1401,"Estimate production cost and effect of product design changes for management review, action, and control.",7,"07/2004","Incumbent"
"17-2121.02","Conduct stability analyses of ships.","New",,,10,"06/2006","Incumbent"
"17-2151.00","Supervise, train, and evaluate technicians, technologists, survey personnel, engineers, scientists and other mine personnel.","Revision",3564,"Supervise and coordinate the work of technicians, technologists, survey personnel, engineers, scientists and other mine personnel.",8,"12/2004","Incumbent"
"17-3012.02","Design electrical systems, such as lighting systems.","New",,,12,"12/2005","Incumbent"
"17-3021.00","Design electrical and mechanical systems used for avionic instrumentation applications.","New",,,5,"12/2006","Incumbent"
"17-3025.00","Prepare permit applications and review compliance with environmental permits.","New",,,6,"12/2004","Incumbent"
"17-3026.00","Design new equipment and materials and recommend revision to methods of operation, material handling, equipment layout, or other changes to increase production or improve standards.","Revision",3659,"Recommend revision to methods of operation, material handling, equipment layout, or other changes to increase production or improve standards.",7,"12/2004","Incumbent"
"17-3031.02","Design and develop information databases that include geographic and topographic data.","New",,,7,"12/2005","Incumbent"
"19-1011.00","Write-up or orally communicate research findings to the scientific community, producers, and the public.","Revision",15211,"Communicate research findings to the scientific community, producers, and the public.",12,"06/2008","Occupational Expert"
"19-1012.00","Develop new food items for production based on consumer feedback.","New",,,21,"12/2005","Incumbent"
"19-1012.00","Keep up-to-date on new regulations and current events regarding food science, for example by reviewing scientific literature.","New",,,6,"12/2005","Incumbent"
"19-1020.01","Prepare technical and research reports, such as environmental impact reports, and communicate the results to individuals in industry, government, and the general public.","Revision",179,"Prepare environmental impact reports for industry, government, or publication.",7,"03/2003","Incumbent"
"19-1020.01","Review reports and proposals, such as those relating to land use classifications and recreational development, for accuracy, adequacy, and adherence to policies, regulations, and scientific standards.","Revision",183,"Review reports such as those relating to land use classifications and recreational development for accuracy and adequacy.",7,"03/2003","Incumbent"
"19-1023.00","Check for and ensure compliance with environmental laws and notify law enforcement when violations are identified.","New",,,8,"07/2004","Incumbent"
"19-1023.00","Inform public of wildlife and conservation issues (e.g., plant identification, hunting ordinances, nuisance wildlife) and respond to public inquiries related to such matters.","New",,,7,"07/2004","Incumbent"
"19-1031.02","Coordinate with federal land managers and other agencies and organizations to manage and protect rangelands.","New",,,15,"12/2005","Incumbent"
"19-1031.02","Regulate grazing (e.g., by issuing permits and checking for compliance with standards), and help ranchers plan and organize grazing systems in order to manage, improve and protect rangelands and maximize their use.","Revision",7496,"Regulate grazing, and help ranchers plan and organize grazing systems in order to manage, improve and protect rangelands and maximize their use.",20,"12/2005","Incumbent"
"19-1031.03","Develop environmental educational programs and curricula for schools.","New",,,5,"12/2004","Incumbent"
"19-1031.03","Plan and organize public events at the park.","New",,,6,"12/2004","Incumbent"
"19-1042.00","Conduct research to develop methodologies, instrumentation and procedures for medical application, analyzing data and presenting findings to the scientific audience and general public.","Revision",7512,"Conduct research to develop methodologies, instrumentation and procedures for medical application, analyzing data and presenting findings.",10,"12/2005","Incumbent"
"19-1042.00","Write and publish articles in scientific journals.","New",,,8,"12/2005","Incumbent"
"19-2011.00","Review scientific proposals and research papers.","New",,,6,"12/2005","Occupational Expert"
"19-2011.00","Serve on professional panels and committees.","New",,,7,"12/2005","Occupational Expert"
"19-2012.00","Write research proposals to receive funding.","New",,,8,"12/2006","Incumbent"
"19-2021.00","Consult with other offices, agencies, professionals, or researchers regarding the use and interpretation of climatological information for weather predictions and warnings.","Revision",9081,"Consult with agencies, professionals, or researchers regarding the use and interpretation of climatological information.",8,"06/2006","Incumbent"
"19-2021.00","Perform managerial duties including creating work schedules, creating and implementing staff training, matching staff expertise to situations, and analyzing performance of offices.","New",,,9,"06/2006","Incumbent"
"19-2031.00","Conduct quality control tests.","New",,,5,"07/2004","Incumbent"
"19-2031.00","Maintain laboratory instruments to ensure proper working order and troubleshoot malfunctions when needed.","New",,,7,"07/2004","Incumbent"
"19-2032.00","Prepare reports, manuscripts, proposals, and technical manuals for use by other scientists and requestors (for example sponsors or customers).","Revision",9088,"Prepare reports of materials study findings for the use of other scientists and requestors.",21,"06/2006","Incumbent"
"19-2032.00","Study the nature, structure, and the physical and chemical properties of metals and their alloys through experiments and computer modeling, and their responses to applied forces.","Revision",9095,"Study the nature, structure and physical properties of metals and their alloys, and their responses to applied forces.",20,"06/2006","Incumbent"
"19-2032.00","Supervise and monitor production processes in order to ensure that equipment is used efficiently, specifications are changed when needed, and projects are completed within appropriate time frames and budgets.","Revision",9096,"Monitor production processes in order to ensure that equipment is used efficiently and that projects are completed within appropriate time frames and budgets.",13,"06/2006","Incumbent"
"19-2042.00","Review environmental clean up work plans to determine the effectiveness of the remedial activities for mitigating soil or groundwater contamination.","New",,,6,"06/2008","Incumbent"
"19-2043.00","Develop computer models to study and document quantities, distribution, disposition, and development of underground and surface waters for hydrologic predictions.","Revision",9100,"Study and document quantities, distribution, disposition, and development of underground and surface waters.",8,"06/2006","Occupational Expert"
"19-2043.00","Prepare written and oral reports describing research results using illustrations, maps, appendices and other information.","Revision",9101,"Draft final reports describing research results, including illustrations, appendices, maps, and other attachments.",6,"06/2006","Occupational Expert"
"19-3011.00","Conduct research on economic issues and disseminate research findings through technical reports or scientific articles in journals.","New",,,7,"12/2005","Incumbent"
"19-3011.00","Provide litigation support, such as writing reports for expert testimony or testifying as expert witness.","New",,,7,"12/2005","Incumbent"
"19-3011.00","Study the socio-economic impacts of new public policies, such as proposed legislation, taxes, services, and regulations.","New",,,15,"12/2005","Incumbent"
"19-3031.01","Interpret test results and prepare psychological reports for teachers, administrators, and parents.","New",,,5,"07/2005","Incumbent"
"19-3031.02","Consult with or provide consultation to other doctors, therapists, or clinicians regarding patient care.","New",,,10,"06/2006","Incumbent"
"19-3031.02","Direct, supervise, and evaluate activities of staff and interns engaged in patient assessment and treatment.","Revision",9141,"Direct, coordinate, and evaluate activities of staff and interns engaged in patient assessment and treatment.",6,"06/2006","Incumbent"
"19-3031.03","Consult with other professionals, agencies, or universities to discuss therapies, treatments, counseling resources or techniques, and to share occupational information.","Revision",9147,"Consult with other professionals to discuss therapies, treatments, counseling resources, or techniques, and to share occupational information.",7,"06/2006","Incumbent"
"19-3031.03","Counsel individuals, groups, or families to help them understand problems, deal with crisis situations, define goals, and develop realistic action plans.","Revision",9144,"Counsel individuals, groups, or families to help them understand problems, define goals, and develop realistic action plans.",5,"06/2006","Incumbent"
"19-3031.03","Document patient information including session notes, progress notes, recommendations, and treatment plans.","New",,,12,"06/2006","Incumbent"
"19-3031.03","Provide consulting services including educational programs, outreach programs, and prevention talks, to schools, social service agencies, businesses, and the general public.","Revision",9151,"Provide consulting services to schools, social service agencies, and businesses.",11,"06/2006","Incumbent"
"19-3031.03","Supervise the work of others including interns, clinicians in training, and other counselors.","New",,,10,"06/2006","Incumbent"
"19-3041.00","Present research findings at professional meetings.","New",,,5,"07/2005","Occupational Expert"
"19-3051.00","Hold public meetings with government officials, social scientists, lawyers, developers, the public, and special interest groups to formulate and develop, present information about, or discuss issues regarding land use or community plans.","Revision",221,"Hold public meetings and confer with government, social scientists, lawyers, developers, the public, and special interest groups to formulate and develop land use or community plans.",9,"03/2003","Incumbent"
"19-3091.01","Teach and mentor undergraduate and graduate students in anthropology.","New",,,5,"07/2005","Occupational Expert"
"19-3091.02","Present findings from archeological research to the general public.","New",,,8,"06/2006","Occupational Expert"
"19-3093.00","Conserve and preserve manuscripts, records, and other artifacts.","New",,,6,"12/2004","Incumbent"
"19-4011.02","Maintain records of testing results and other documents as required by state and other governing agencies.","New",,,7,"12/2005","Incumbent"
"19-4011.02","Monitor and control temperature of products.","New",,,12,"12/2005","Incumbent"
"19-4011.02","Perform regular maintenance of laboratory equipment by inspecting, calibrating, cleaning, and sterilizing.","Revision",7580,"Clean and sterilize laboratory equipment.",13,"12/2005","Incumbent"
"19-4011.02","Train newly hired laboratory personnel.","New",,,6,"12/2005","Incumbent"
"19-4031.00","Provide and maintain a safe work environment by participating in safety programs, committees, and/or teams, and by conducting laboratory and plant safety audits.","New",,,5,"07/2004","Incumbent"
"19-4041.01","Evaluate and interpret seismic data with the aid of computers.","New",,,8,"12/2006","Incumbent"
"19-4041.01","Record geological data in a database.","New",,,6,"12/2006","Incumbent"
"19-4041.02","Compile, log, or record testing and operational data for review and further analysis.","Revision",9173,"Compile and record testing and operational data for review and further analysis.",5,"06/2006","Incumbent"
"19-4041.02","Prepare and review professional, technical, or other reports regarding sampling, testing, or recommendations of data analysis.","New",,,7,"06/2006","Incumbent"
"19-4051.02","Calibrate and maintain chemical instrumentation sensing elements, sampling system, and radiation detection equipment, using calibration instruments and hand tools.","Revision",7608,"Calibrate and maintain chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.",8,"12/2005","Incumbent"
"19-4051.02","Survey radioactive material shipments to ensure compliance with regulations.","New",,,5,"12/2005","Incumbent"
"19-4092.00","Examine and analyze blood stain patterns at crime scenes.","New",,,5,"07/2004","Incumbent"
"19-4092.00","Keep records, including taking photographs of evidence, and prepare reports detailing findings, investigative methods, and laboratory techniques.","Revision",1572,"Keep records and prepare reports detailing findings, investigative methods, and laboratory techniques.",12,"07/2004","Incumbent"
"19-4092.00","Train new technicians and other personnel on forensic science techniques.","New",,,6,"07/2004","Incumbent"
"19-4092.00","Use chemicals and other substances to examine latent fingerprint evidence and compare developed prints to those of known persons in databases.","New",,,16,"07/2004","Incumbent"
"21-1011.00","Assess individuals' degree of drug dependency by collecting and analyzing urine samples.","New",,,10,"07/2005","Incumbent"
"21-1011.00","Train and supervise student interns and new staff members.","New",,,5,"07/2005","Incumbent"
"21-1012.00","Collaborate with teachers and administrators in the development, evaluation, and revision of school programs and curricula.","Revision",5618,"Collaborate with teachers and administrators in the development, evaluation, and revision of school programs.",7,"07/2005","Incumbent"
"21-1012.00","Coordinate the administration of ability, achievement, and psychological tests to help schools with admission and placement decisions or to meet state and federal mandates.","New",,,32,"07/2005","Incumbent"
"21-1012.00","Counsel students regarding educational issues, such as course and program selection, class scheduling and registration, school adjustment, truancy, study habits, and career planning.","Revision",5604,"Counsel students regarding educational issues such as course and program selection, class scheduling, school adjustment, truancy, study habits, and career planning.",20,"07/2005","Incumbent"
"21-1012.00","Establish contacts with employers to create internship and employment opportunities for students.","New",,,7,"07/2005","Incumbent"
"21-1012.00","Organize workshops and presentations on career planning and other career-related issues.","New",,,5,"07/2005","Incumbent"
"21-1012.00","Perform clerical tasks, such as filing, writing letters, answering phone calls, copying, and faxing.","New",,,11,"07/2005","Incumbent"
"21-1012.00","Plan and promote career and employment-related programs and events, such as work-experience programs, job fairs, and career days.","New",,,9,"07/2005","Incumbent"
"21-1012.00","Plan, direct, and participate in recruitment and enrollment activities.","New",,,15,"07/2005","Incumbent"
"21-1012.00","Prepare master schedule for curriculum offerings.","New",,,6,"07/2005","Incumbent"
"21-1012.00","Serve as a liaison between the school and parents, educational institutions, and community service agencies.","New",,,6,"07/2005","Incumbent"
"21-1012.00","Supervise, train, and direct professional staff and interns.","New",,,21,"07/2005","Incumbent"
"21-1013.00","Confer with other counselors, doctors, and professionals in order to analyze individual cases and to coordinate counseling services.","Revision",9192,"Confer with other counselors in order to analyze individual cases and to coordinate counseling services.",5,"06/2006","Incumbent"
"21-1013.00","Develop and implement individualized treatment plans to address family relationship problems, destructive patterns of behavior, and other personal issues.","Revision",9189,"Develop and implement individualized treatment plans addressing family relationship problems.",7,"06/2006","Incumbent"
"21-1014.00","Assess patients for risk of suicide attempts.","New",,,5,"07/2004","Incumbent"
"21-1014.00","Coordinate and direct employee workshops, courses, and training about mental health issues.","Revision",1613,"Run workshops and courses about mental health issues.",6,"07/2004","Incumbent"
"21-1014.00","Fill out and maintain client-related paperwork, including federal- and state-mandated paperwork (e.g., consent and release forms), client diagnostic records, and progress notes.","New",,,11,"07/2004","Incumbent"
"21-1014.00","Supervise other counselors, social service staff, assistants, and graduate students.","Revision",1611,"Supervise other counselors, social service staff, and assistants.",6,"07/2004","Incumbent"
"21-1015.00","Direct case service allocations, authorizing expenditures and payments, and manage budgets.","Revision",9215,"Direct case service allocations, authorizing expenditures and payments.",6,"06/2006","Incumbent"
"21-1022.00","Investigate child or elderly abuse or neglect cases and take authorized protective action when necessary.","Revision",259,"Investigate child abuse or neglect cases and take authorized protective action when necessary.",4,"06/2008","Occupational Expert"
"21-1023.00","Assist clients in adhering to treatment plans, such as setting up appointments, arranging for transportation to appointments, and providing support.","New",,,10,"03/2003","Incumbent"
"21-1023.00","Conduct social research; attend seminars, training workshops, or classes; and review current literature to increase social work knowledge.","Revision",283,"Conduct social research to advance knowledge in the social work field.",5,"03/2003","Incumbent"
"21-1023.00","Educate clients and members of the community about mental and physical illness, abuse, medication, and available community resources.","New",,,15,"03/2003","Incumbent"
"21-1023.00","Interview clients, review records, conduct assessments, and confer with other professionals to evaluate the mental or physical condition of client or patient.","Revision",274,"Interview clients, review records, and confer with other professionals to evaluate mental or physical condition of client or patient.",9,"03/2003","Incumbent"
"21-1091.00","Design and administer training programs for new employees and continuing education for existing employees.","New",,,16,"06/2006","Incumbent"
"21-1091.00","Develop educational materials and programs for community agencies, local government, and state government.","New",,,15,"06/2006","Incumbent"
"21-1091.00","Prepare and distribute health education materials, including reports, bulletins, and visual aids such as videotapes, photographs, and posters in order to deal with issues such as smoking, vaccines, and general public health concerns.","Revision",9219,"Prepare and distribute health education materials, including reports, bulletins, and visual aids such as films, videotapes, photographs, and posters.",15,"06/2006","Incumbent"
"21-1092.00","Administer drug and alcohol tests, including random drug screens of offenders to verify compliance with substance abuse treatment programs.","New",,,5,"07/2004","Incumbent"
"21-1092.00","Supervise people on community-based sentences, including people on electronically monitored home detention, and provide field supervision of probationers by conducting curfew checks and home/work/school visits to verify compliance with court orders.","Revision",1626,"Supervise people on community-based sentences, including people on electronically monitored home detention.",7,"07/2004","Incumbent"
"21-2021.00","Plan fundraising activities for the church.","New",,,5,"06/2007","Incumbent"
"23-1023.00","Provide information regarding the judicial system and/or other legal issues through the media and public speeches.","New",,,6,"07/2005","Incumbent"
"23-2011.00","Arbitrate disputes between parties and assist in the real estate closing process (e.g., by reviewing title searches).","Revision",1640,"Arbitrate disputes between parties and assist in real estate closing process.",9,"07/2004","Incumbent"
"23-2011.00","File pleadings with court clerk.","Revision",1635,"Prepare affidavits or other documents, maintain document file, and file pleadings with court clerk.",18,"07/2004","Incumbent"
"23-2011.00","Investigate facts and law of cases and search pertinent sources (e.g., public records) to determine causes of action and to prepare cases.","Revision",1637,"Investigate facts and law of cases to determine causes of action and to prepare cases.",9,"07/2004","Incumbent"
"23-2011.00","Meet with clients and other professionals to discuss details of case.","New",,,8,"07/2004","Incumbent"
"23-2011.00","Prepare affidavits or other documents (e.g., legal correspondence), and organize and maintain documents in paper or electronic filing system.","Revision",1635,"Prepare affidavits or other documents, maintain document file, and file pleadings with court clerk.",18,"07/2004","Incumbent"
"23-2011.00","Prepare for trial by performing tasks such as organizing exhibits.","New",,,10,"07/2004","Incumbent"
"23-2092.00","Prepare drafts of judicial opinions and decisions.","New",,,34,"12/2004","Incumbent"
"23-2092.00","Schedule meetings between legal professionals.","New",,,9,"12/2004","Incumbent"
"25-1011.00","Develop and maintain course websites.","New",,,6,"07/2005","Incumbent"
"25-1021.00","Maintain computer equipment used in instruction.","New",,,5,"07/2005","Incumbent"
"25-1022.00","Keep abreast of developments and technological advances in the mathematical field by reading current literature, talking with colleagues, and participating in professional conferences.","Revision",5718,"Keep abreast of developments in their field by reading current literature, talking with colleagues, and participating in professional conferences.",5,"07/2005","Incumbent"
"25-1042.00","Assist students, who need extra help with their coursework, outside of class.","New",,,6,"07/2005","Incumbent"
"25-1042.00","Participate in campus and community events, such as by giving presentations to the public.","Revision",5820,"Participate in campus and community events.",5,"07/2005","Incumbent"
"25-1042.00","Prepare materials for laboratory activities and course materials such as syllabi, homework assignments, and handouts.","Revision",5801,"Prepare course materials such as syllabi, homework assignments, and handouts.",10,"07/2005","Incumbent"
"25-1042.00","Provide students course-related experiences (e.g., field trips) outside the classroom.","New",,,5,"07/2005","Incumbent"
"25-1042.00","Review papers for publication in journals.","New",,,6,"07/2005","Incumbent"
"25-1042.00","Write letters of recommendation for students applying to graduate school.","New",,,8,"07/2005","Incumbent"
"25-1043.00","Provide information to the public by leading workshops and training programs and by developing educational materials.","New",,,5,"07/2005","Incumbent"
"25-1043.00","Review papers for colleagues and scientific journals.","New",,,7,"07/2005","Incumbent"
"25-1051.00","Answer questions from the public and media.","New",,,5,"07/2005","Incumbent"
"25-1051.00","Purchase and maintain equipment to support research projects.","New",,,6,"07/2005","Incumbent"
"25-1051.00","Review papers and/or serve on editorial boards for scientific journals, and review grant proposals for federal agencies.","New",,,13,"07/2005","Incumbent"
"25-1052.00","Establish, teach, and monitor students' compliance with safety rules for handling chemicals, equipment, and other hazardous materials.","New",,,7,"07/2005","Incumbent"
"25-1052.00","Select, order, and maintain materials and supplies for teaching and research, such as textbooks, chemicals, and laboratory equipment.","Revision",5879,"Select and obtain materials and supplies such as textbooks and laboratory equipment.",18,"07/2005","Incumbent"
"25-1052.00","Serve on committees or in professional societies.","New",,,5,"07/2005","Incumbent"
"25-1053.00","Review papers and/or serve on editorial boards for scientific journals, and review grant proposals for various agencies.","New",,,11,"07/2005","Incumbent"
"25-1054.00","Maintain and repair laboratory equipment.","New",,,6,"07/2005","Incumbent"
"25-1061.00","Conduct research in a particular field of knowledge, and present findings in professional journals, books, electronic media, and/or at professional conferences.","Revision",5938,"Conduct research in a particular field of knowledge, and publish findings in professional journals, books, and/or electronic media.",5,"07/2005","Incumbent"
"25-1061.00","Review manuscripts for publication in books and professional journals.","New",,,9,"07/2005","Incumbent"
"25-1061.00","Write grant proposals to procure external research funding, and review others' grant proposals.","Revision",5943,"Write grant proposals to procure external research funding.",5,"07/2005","Incumbent"
"25-1062.00","Participate in campus and community events, such as giving public lectures about research.","Revision",5978,"Participate in campus and community events.",6,"07/2005","Incumbent"
"25-1066.00","Provide clinical services to clients, such as by assessing psychological problems and conducting psychotherapy.","New",,,8,"07/2005","Incumbent"
"25-1066.00","Review books and journal articles for potential publication.","New",,,6,"07/2005","Incumbent"
"25-1066.00","Supervise the clinical work of practicum students.","New",,,5,"07/2005","Incumbent"
"25-1066.00","Talk with students about academic and personal problems and refer them to the appropriate resources.","New",,,5,"07/2005","Incumbent"
"25-1066.00","Teach classes using current technology, such as by developing multimedia course materials and on-line courses.","New",,,7,"07/2005","Incumbent"
"25-1072.00","Maintain a clinical practice.","New",,,5,"07/2005","Incumbent"
"25-1072.00","Mentor junior and adjunct faculty members.","New",,,5,"07/2005","Incumbent"
"25-1072.00","Serve on committees or in professional organizations.","New",,,6,"07/2005","Incumbent"
"25-1081.00","Serve as a liaison between the university and other governmental and educational agencies.","New",,,5,"07/2005","Incumbent"
"25-1081.00","Serve on committees or in professional organizations.","New",,,6,"07/2005","Incumbent"
"25-1082.00","Conduct research in a particular field of knowledge, and present findings in professional journals, books, electronic media, and/or at professional conferences.","Revision",6177,"Conduct research in a particular field of knowledge, and publish findings in professional journals, books, and/or electronic media.",6,"07/2005","Incumbent"
"25-1082.00","Develop and teach on-line courses.","New",,,11,"07/2005","Incumbent"
"25-1082.00","Edit manuscripts for professional journals.","New",,,6,"07/2005","Incumbent"
"25-1082.00","Keep abreast of developments in the field by reading current literature, talking with colleagues, giving presentations at conferences, and serving on committees in professional associations.","Revision",6174,"Keep abreast of developments in their field by reading current literature, talking with colleagues, and participating in professional conferences.",8,"07/2005","Incumbent"
"25-1122.00","Keep abreast of developments and technological advances in the communication field by reading current literature, talking with colleagues, and participating in professional conferences.","Revision",6296,"Keep abreast of developments in their field by reading current literature, talking with colleagues, and participating in professional conferences.",5,"07/2005","Incumbent"
"25-1123.00","Assist students, who need extra help with their coursework, outside of class.","New",,,9,"07/2005","Incumbent"
"25-1123.00","Conduct staff performance evaluations.","New",,,6,"07/2005","Incumbent"
"25-1123.00","Participate in cultural and literary activities, such as traveling abroad and attending performing arts events.","New",,,13,"07/2005","Incumbent"
"25-1123.00","Recruit, train, and supervise department personnel, such as faculty and student writing instructors.","Revision",6330,"Recruit, train, and supervise student writing instructors.",8,"07/2005","Incumbent"
"25-1123.00","Teach classes using online technology, such as course web pages.","New",,,6,"07/2005","Incumbent"
"25-1123.00","Teach writing classes.","New",,,9,"07/2005","Incumbent"
"25-1123.00","Write letters of recommendation for colleagues and students.","New",,,7,"07/2005","Incumbent"
"25-1123.00","Write original literary pieces.","New",,,7,"07/2005","Incumbent"
"25-1124.00","Develop and maintain web pages for teaching related purposes.","New",,,5,"07/2005","Incumbent"
"25-1124.00","Organize and direct study abroad programs.","New",,,8,"07/2005","Incumbent"
"25-1125.00","Develop, maintain, and teach online courses.","New",,,5,"07/2005","Incumbent"
"25-1125.00","Review books and journal articles for potential publication.","New",,,6,"07/2005","Incumbent"
"25-1125.00","Teach community courses and speak to local groups and organizations.","New",,,7,"07/2005","Incumbent"
"25-1126.00","Prepare and deliver lectures to undergraduate/graduate students and the community on topics such as ethics, logic, and contemporary religious thought.","Revision",6380,"Prepare and deliver lectures to undergraduate and/or graduate students on topics such as ethics, logic, and contemporary religious thought.",6,"07/2005","Incumbent"
"25-1126.00","Write articles and books.","New",,,5,"07/2005","Incumbent"
