class_code,class_title
23281700,Mechanical surface treatment machines
23281900,Metal cleaning machinery and supplies
23291700,Industrial reaming tools
23291800,Industrial threading tools
24101500,Industrial trucks
24101600,Lifting equipment and accessories
24101700,Conveyors and accessories
24101800,Dock equipment
24101900,Drum handling equipment
24102000,Shelving and storage
24102100,Warehousing equipment and supplies
24102200,Packing tools
24111500,Bags
24111800,Tanks and cylinders and their accessories
24112000,Bins and baskets
24112400,Storage chests and cabinets and trunks
24131500,Industrial refrigerators
24131600,Industrial freezers
24131900,Ice makers
24141500,Securing and protecting supplies
25101500,Passenger motor vehicles
25101600,Product and material transport vehicles
25101700,Safety and rescue vehicles
25101800,Motorized cycles
25101900,Specialized and recreational vehicles
25102100,Truck tractors
25111500,Commercial marine craft
25111600,Safety and rescue water craft
25111800,Recreational watercraft
25111900,Marine craft systems and subassemblies
25121500,Locomotives and electric trolleys
25121600,Railway and tramway cars
25121700,Railroad support equipment and systems
25131500,Powered fixed wing aircraft
25131600,Civilian and commercial rotary wing aircraft
25161500,Pedal powered vehicles
25171600,Defrosting and defogging systems
25171700,Braking systems and components
25172100,Vehicle safety and security systems and components
25172200,Vehicle doors
25172500,Tires and tire tubes
25172800,Hydraulic systems and components
25172900,Exterior vehicle lighting
25173100,Location and navigation systems and components
25173300,Master control systems
25173700,Exhaust and emission controls
25174000,Engine coolant system
25174100,Roof systems
25174200,Steering system
25174800,Specialized vehicle systems and components
25175000,Electric vehicle charging systems
25181700,Product and material trailers
25191500,Air transportation support systems and equipment
25191700,Vehicle servicing equipment
25191800,Vehicle testing and measuring equipment
25201600,Aerospace location and navigation systems and components
25201700,Flight communications related systems
25201800,Aircraft master control systems
25201900,Aircraft emergency systems
25202000,Aircraft power systems
25202100,Flight instrumentation
25202200,Aircraft landing and braking systems
25202400,Aircraft fuel tanks and systems
25202500,Aircraft equipment
25202600,Aircraft environmental control systems and components
25202700,Aircraft accumulators
26101100,Electric alternating current AC motors
26101200,Electric direct current DC motors
26101300,Non electric motors
26101500,Engines
26101700,Engine components and accessories
26111500,Kinetic power transmission
26111600,Power generators
26111700,Batteries and cells and accessories
26112000,Clutch parts and accessories
26121600,Electrical cable and accessories
26131500,Power plants
26131600,Exhaust structures or screening equipment
26131700,Power generation monitoring or detecting equipment
26131800,Power generation control equipment
26141700,Dosimetry equipment
26141800,Hot cell devices
26141900,Industrial nucleonic instruments
26142000,Irradiation equipment
26142100,Nuclear reactor equipment
26142200,Nuclear fuel equipment
26142400,Radioactive waste equipment
27111500,Cutting and crimping and punching tools
27111600,Forming tools
27111700,Wrenches and drivers
27111800,Measuring and layout tools
27111900,Rough and finishing tools
27112000,"Agriculture, forestry and garden handtools"
27112100,Holding and clamping tools
27112200,Masonry and concrete tools
27112300,Marking tools
27112400,Fastener setting tools
27112500,Prying and bending tools
27112600,Sealing tools
27112700,Power tools
27112800,Tool attachments and accessories
27112900,Dispensing tools
27113000,Brushes
27113100,Pulling tools
27113200,Tool kits
27113300,Precision hand tools
27121500,Hydraulic presses
27121600,Hydraulic cylinders and pistons
27121700,Hydraulic hose and tube fittings
27121800,Hydraulic tools
27131500,Pneumatic tools
27131600,Air fittings and connectors
27141000,Body tools
27141100,Suspension tools
30121800,Landscape architecture materials
30151600,Roofing accessories
30161500,Wall finishing materials
30171500,Doors
30181500,Sanitary ware
30181600,Non sanitary residential fixtures
30191500,Ladders and scaffolding
30191600,Ladders and scaffolding accessories
30241500,Portable Structure Consolidating Components
31141500,Injection moldings
31141600,Vacuum moldings
31151500,Ropes
31151600,Chains
31151700,Mechanical cable
31151900,Straps
31161600,Bolts
31161800,Washers
31162000,Nails
31162100,Anchors
31162400,Miscellaneous fasteners
31162500,Brackets and braces
31162600,Hooks
31162700,Rolling hardware
31162800,Miscellaneous hardware
31162900,Clamps
31163100,Connectors
31163300,Studs
31171800,Industrial wheels
31181700,Packings and glands
31191500,Abrasives and abrasive media
31191600,Abrasive wheels
31201500,Tape
31211500,Paints and primers
31211900,Paint applicators and painting accessories
31241500,Lenses and prisms
31241700,Mirrors
31241800,Optical filters
31242100,Optical device accessories
31242200,Miscellaneous optical components
31251500,Actuators
32101500,Circuit assemblies and radio frequency RF components
32101600,Integrated circuits
32111500,Diodes
32121600,Resistors
32121700,Discrete components
32131000,Electronic component parts and raw materials and accessories
32141000,Electron Tubes
32141100,Electron tube parts and accessories
32151700,Programmable Logic Controllers
39101600,Lamps and lightbulbs
39111500,Interior lighting fixtures and accessories
39111600,Exterior lighting fixtures and accessories
39111700,Emergency lighting and accessories
39111800,Lighting accessories
39112200,Special effects devices
39112400,Stage and studio lighting dimming and control devices
39112500,Stage and studio luminaires
39112600,Non electrical lighting devices
39121000,Power conditioning equipment
39121100,Distribution and control centers and accessories
39121400,Electrical lugs plugs and connectors
39121500,Electrical controls and accessories
39121600,Circuit protection devices and accessories
39121700,Electrical hardware and supplies
39122200,Electrical switches and accessories
39122300,Electrical relays and accessories
39131500,Wire Markers and Wire Marking Devices
40101500,Ventilation
40101600,Air circulation and parts and accessories
40101700,Cooling equipment and parts and accessories
40101800,Heating equipment and parts and accessories
40101900,Humidity control
40102000,Boilers
40141600,Valves
40141700,Hardware and fittings
40142000,Hoses
40142200,Fluid and gas regulators
40142500,Traps and strainers
40151500,Pumps
40151600,Compressors
40161500,Filters
40161600,Purification
40161700,Separators
40161800,Filter media
40174400,Pipe spectacle blind flanges
41101500,Laboratory blending and dispersing and homogenizing equipment and supplies
41101700,Laboratory boring and grinding and cutting and crushing and pressing equipment
41101800,Laboratory electron and solid state physics equipment
41101900,Laboratory ionic equipment
41102400,Laboratory heating and drying equipment
41102500,Laboratory entomological equipment and accessories
41102600,Animal laboratory equipment and accessories
41102700,Crystallography equipment
41102900,Histology equipment
41103000,Laboratory cooling equipment
41103200,Laboratory washing and cleaning equipment
41103300,Fluid mechanics equipment
41103400,Laboratory environmental conditioning equipment
41103500,Laboratory enclosures and accessories
41103700,Laboratory baths
41103800,Laboratory mixing and stirring and shaking equipment and supplies
41103900,Laboratory centrifuges and accessories
41104000,Sampling equipment
41104100,Specimen collection and transport containers and supplies
41104200,Laboratory water purification equipment and supplies
41104300,Fermentation equipment
41104400,Laboratory incubating equipment
41104500,Laboratory ovens and accessories
41104600,Laboratory furnaces and accessories
41104700,Laboratory freeze dryers and lyopholizers and accessories
41104800,Laboratory decanting and distilling and evaporating and extracting equipment and supplies
41104900,Laboratory filtering equipment and supplies
41105000,Laboratory sieves and sifting equipment and supplies
41105100,Laboratory pumps and tubing
41105200,Laboratory slide stainer equipment and accessories
41105300,Laboratory electrophoresis and blotting system and supplies
41105500,Nucleic acid extraction and purification and quantitation kits and components
41105900,Libraries and related materials
41106100,Deoxyribonucleic acid DNA analysis kits
41106200,Microorganism propagation and transformation media and kits and equipment
41106300,Polymerase chain reaction PCR and reverse transcriptase polymerase chain reaction RT PCR products
41106600,Vectors
41111500,Weight measuring instruments
41111600,Length and thickness and distance measuring instruments
41111700,Viewing and observing instruments and accessories
41111800,Non destructive examination equipment
41111900,Indicating and recording instruments
41112100,Transducers
41112200,Temperature and heat measuring instruments
41112300,Humidity and moisture measuring instruments
41112400,Pressure measuring and control instruments
41112500,Liquid and gas flow measuring and observing instruments
41112700,Seed and feed equipment
41112800,Transportation related equipment and instruments
41112900,Navigational equipment and instruments
41113000,Chemical evaluation instruments and supplies
41113100,Gas analyzers and monitors
41113300,Liquid and solid and elemental analyzers
41113400,Nuclear evaluation instruments
41113600,Electrical measuring and testing equipment and accessories
41113700,Electronic and communication measuring and testing instruments
41113800,Geophysical and geotechnical instruments
41113900,Soil measuring equipment
41114000,Rock and strata measuring equipment
41114100,Seismological instruments
41114200,Land surveying instruments
41114300,Hydrological instruments
41114400,Meteorological instruments
41114500,Mechanical instruments
41114600,Metals and metallurgy and structural materials testing instruments
41114700,Paper and wood and textile testing instruments
41115200,Radar and sonar systems and components
41115300,Light and wave generating and measuring equipment
41115400,Spectroscopic equipment
41115500,Sound generating and measuring equipment
41115600,Electrochemical measuring instruments and accessories
41115700,Chromatographic measuring instruments and accessories
41115800,Clinical and diagnostic analyzers and accessories and supplies
41116100,Manual test kits and quality controls and calibrators and standards
41116200,Patient point of care testing supplies and equipment
41116400,Acceleration and vibration measuring instruments
41121500,Pipettes and liquid handling equipment and supplies
41121700,Test Tubes
41121800,General laboratory glassware and plasticware and supplies
41122000,Laboratory or sampling syringes
41122100,Tissue culture and high throughput screening supplies
41122200,Crucibles
41122400,Laboratory implements
41122500,Laboratory corks and stoppers and accessories
41122600,Laboratory microscope slides and supplies
41122800,Laboratory stands and racks and trays
41123000,Laboratory desiccators and desiccants
41123300,General laboratory storage containers and cabinets
41123400,Dosing devices
42121500,Veterinary equipment
42121600,Veterinary products
42121800,Veterinary artificial insemination equipment and supplies
42131600,Medical staff clothing and related articles
42131700,Surgical textiles
42132200,Medical gloves and accessories
42141600,Basins and bedpans and urinals and admission kits
42141700,Decubitus prevention products
42141800,Electrotherapy equipment
42141900,Enema administration supplies
42142000,Floor grade instruments
42142100,Heat and cold therapy products
42142200,Hydrotherapy products
42142300,Medical documentation products
42142400,Medical suction and vacuum products
42142500,Injection and aspiration needles and accessories
42142600,Syringes and accessories
42142700,Urological supplies
42142800,Vascular and compression therapy equipment and supplies
42142900,Vision correction or cosmetic eyewear and related products
42143100,Obstetrical and gynecological equipment and supplies
42143500,Ear nose and throat ENT treatment products and accessories
42143600,Restraints and accessories
42143700,Phototherapy systems and accessories
42144100,Pleural cavity drain products
42151500,Cosmetic dentistry equipment and supplies
42151600,Dental and subspecialty instruments and devices
42151700,Dental clinical furniture
42151800,Dental fillers and finishing and polishing supplies
42151900,Dental hygiene and preventive care equipment and supplies
42152000,Dental imaging equipment and supplies
42152100,Dental impression and forming equipment and supplies
42152200,Dental laboratory and sterilization equipment and supplies
42152300,Dental lasers and illumination and fiber optic equipment and supplies
42152400,Dental materials
42152500,General dental supplies
42152600,Dental operatory specific supplies
42152700,Orthodontic and prosthodontic equipment and supplies
42152800,Periodontal equipment and supplies
42161500,Peritoneal and equilibrium dialysis equipment and supplies
42161600,Extracorporeal hemodialysis equipment and supplies
42161800,Continuous renal replacement therapy CRRT equipment and supplies
42171500,Emergency medical services disaster management products
42171600,Emergency medical services extricating and immobilizing and transporting products
42171700,Emergency medical services blankets
42171800,Emergency medical services airway management equipment
42172000,Emergency and field medical services kits
42172100,Emergency medical services resuscitation products
42172200,Emergency medical services supplies
42181500,Diagnostic assessment and exam products for general use
42181600,Blood pressure units and related products
42181700,Electrocardiography EKG units and related products
42181800,Pulse oximeters
42181900,Acute care monitoring units and related products
42182000,Scopes and specula and accessories for medical exam diagnostic use
42182100,Stethoscopes and related products
42182200,Medical thermometers and accessories
42182300,Neurological exam products
42182400,Hearing testing products
42182600,Medical exam lights or lamps
42182700,Medical exam size measuring devices
42182800,Medical weight scales
42183000,Ophthalmic diagnostic exam products
42191600,Medical facility building systems
42191800,Patient beds and accessories
42191900,Clinical cabinetry
42192000,Clinical procedure and examination tables
42192100,Clinical seating and stools and related products
42192200,Patient transport products
42192300,Patient lifts
42192400,Medical equipment transport and transfer products
42192600,Medication dispensing and measuring devices and supplies
42201500,Medical computed tomography CT or CAT systems and related products
42201600,Medical magnetic resonance imaging MRI products
42201700,Medical ultrasound and doppler and echo imaging products
42201800,Medical diagnostic x ray products
42202000,Medical diagnostic gamma cameras and related products
42202100,Brachytherapy products
42202200,Gamma radiation therapy products
42202300,Medical linear accelerator intensity modulated radiation therapy IMRT products
42202400,Medical positron emission tomography PET equipment and related products
42202500,Medical single photon emission computed tomography SPECT equipment and related products
42202700,Radiotherapy teletherapy products
42203000,Medical linear accelerators and related products
42203100,Radiobiological instruments
42203200,Radiotherapy simulators
42203400,Vascular imaging and interventional cardiology and cardiac catheterization lab products
42203500,Cardiac pacemakers and related products
42203600,Medical radiological imaging information and archiving products
42203700,Medical imaging processing equipment and supplies
42203800,Medical radiological positioning aids
42203900,Medical radiation detection or monitoring products
42204000,Medical radiological shielding and protection products
42211500,Ambulation and transfer and positioning aids for the physically challenged
42211600,Bathroom and bathing aids for the physically challenged
42211700,Communication aids for the physically challenged
42211800,Dressing and grooming aids for the physically challenged
42211900,Eating and drinking and food preparation aids for the physically challenged
42212100,Leisure and recreational aids for the physically challenged
42212200,Medication handling aids for the physically challenged
42212300,Reaching and gripping aids for the physically challenged
42221500,Intravenous and arterial cannulas and catheters and accessories
42221600,Intravenous and arterial tubing and administration sets and related products
42221700,Intravenous and arterial infusion bags and containers and related products
42221800,Intravenous and arterial catheter and needle positioning aids
42221900,Intravenous or arterial flow measurement and regulation products
42222000,Intravenous infusion pumps and its analyzers and sensors and its accessories
42222200,Needleless intravenous injection and withdrawal systems
42222300,Blood administration and transfusion products
42231500,Enteral feeding equipment and supplies
42231600,Gastrostomy and jejunostomy access devices or accessories
42231700,Nasoenteric tubes
42231900,Breast feeding equipment and supplies
42232000,Tablet crushers and cutters and related products
42241500,Casting and splinting supplies
42241600,Casting equipment and parts and accessories
42241700,Orthopedic softgoods for lower extremity
42241800,Orthopedic softgoods for upper extremity and torso
42242000,Prosthetic devices or accessories and supplies
42242100,Orthopedic traction supplies and accessories
42251500,Cognitive and dexterity and perceptual and sensory evaluation and therapy products
42251600,Rehabilitation exercise devices and equipment
42251700,Gait training products
42251800,Work hardening equipment for rehabilitation or therapy
42261500,Pathology dissection instruments and supplies
42261600,Autopsy equipment and supplies
42261700,Autopsy furniture
42261800,Cadaver transport and storage equipment and supplies
42261900,Clinical forensics equipment and supplies
42262000,Embalming equipment and supplies
42262100,Mortuary equipment and supplies
42271500,Respiratory monitoring products
42271600,Pulmonary function testing and treatment products
42271700,Oxygen therapy delivery systems and devices
42271800,Respiratory humidity and aerosol therapy products
42271900,Airway management products
42272000,Intubation supplies
42272100,Negative mechanical pressure ventilators
42272200,Positive mechanical pressure ventilators and accessories
42272300,Resuscitation supplies
42272500,Anesthesia apparatus and accessories and supplies
42281500,Autoclave and sterilizer equipment and accessories
42281700,Disinfecting or presterilization cleaning equipment and solutions
42281800,Sterilization indicators and controls
42281900,Sterilization wraps and packaging supplies
42291500,Surgical bone biopsy instruments and related products
42291600,Surgical cutting instruments and snares and related products
42291700,Surgical hand drills and reamers and puncturing instruments and accessories and related products
42291800,Surgical clamps and forceps and surgical ligators and related instruments
42291900,Surgical instrument and tube holders and positioners
42292100,Surgical inserters and extractors and related products
42292200,Surgical approximators and compressors and depressors and related products
42292300,Surgical bending irons and crimpers and pliers and tensioners and wrenches and related products
42292400,Surgical taps and drivers and related products
42292500,Surgical hammers and mallets and impactors and presses and related products
42292600,Surgical dilators and probes and grooves and related products
42292700,Surgical dissectors and elevators and picks and related products
42292900,Suture and surgical tissue closure instruments and related products
42293000,Surgical measuring devices and related products
42293100,Surgical retractors and related products
42293300,Surgical distractors and spreaders and separators and related products
42293400,Surgical manipulators and implant positioners and related products
42293500,Surgical suction and irrigation cannulas and tips and stylets and related products
42293600,Surgical bougies and sounds and obturators and related products
42294000,Surgical spatulas and spoons and scoops and related products
42294200,Surgical instrument sets and systems and trays
42294400,Vascular and cardiac systems
42294500,Ophthalmic specialty instruments and related products
42294600,Autotransfusion products
42294700,Open heart perfusion equipment and monitors and accessories and related products
42294800,Endoscopes and accessories and related products
42294900,Endoscopic instruments and supplies and accessories and related products
42295000,Endoscopic equipment and accessories and related products
42295100,Surgical equipment and accessories and related products
42295200,Surgical power equipment and accessories and related products
42295300,Open heart surgical supplies and accessories and related products
42295400,Surgical support supplies
42295500,Surgical implants and expanders and extenders and surgical wires and related products
42301500,Aids for medical training
42311500,Bandages and dressings and related products
42311900,Medical incision drains and drainage bags and reservoirs and related products
42312000,Medical tissue closure and related products
42312100,Ostomy supplies and non surgical wound drainage products
42312200,Suture and related products
42312500,Wound supports and supplies and accessories
43191500,Personal communication devices
43191600,Personal communications device accessories or parts
43201400,System Cards
43201500,System boards processors interfaces or modules
43201600,Chassis components
43201800,Media storage devices
43201900,Media storage device accessories
43202000,Removable storage media
43211500,Computers
43211600,Computer accessories
43211700,Computer data input devices
43211900,Computer displays
43212000,Computer display accessories
43212100,Computer printers
43221500,Call management systems or accessories
43221700,Fixed network equipment and components
43222500,Network security equipment
43222600,Network service equipment
43222700,Telegraph equipment
43223000,Teletype equipment
43223100,Digital mobile network infrastructure equipment and components
43223200,Mobile messaging platforms
43223300,Datacom and network connectivity installation devices and equipment
43231500,Business function specific software
43231600,Finance accounting and enterprise resource planning ERP software
43232000,Computer game or entertainment software
43232100,Content authoring and editing software
43232200,Content management software
43232300,Data management and query software
43232400,Development software
43232500,Educational or reference software
43232600,Industry specific software
43232700,Network applications software
43232800,Network management software
43232900,Networking software
43233000,Operating environment software
43233200,Security and protection software
43233400,Utility and device driver software
43233500,Information exchange software
43233700,System management software
44101500,Duplicating machines
44101600,Paper processing machines and accessories
44101700,Printer and photocopier and facsimile accessories
44101800,Calculating machines and accessories
44101900,Check endorsing and writing machines
44102100,Mail machines
44102300,Packing machines
44102400,Labeling machines
44102500,Sorting machines
44102600,Typing machines and accessories
44102800,Binding and lamination machines
44103100,Printer and facsimile and photocopier supplies
44103200,Office time recording machines and accessories
44111500,Organizers and accessories
44111600,Cash handling supplies
44111800,Drafting supplies
44111900,Boards
44112000,Planning systems
44121500,Mailing supplies
44121600,Desk supplies
44121700,Writing instruments
44121900,Ink and lead refills
45101500,Printing machinery and equipment
45101600,Printing machinery accessories
45101700,Printing accessories
45101800,Book binding and sewing equipment and accessories
45101900,Printing laboratory equipment and accessories
45111500,Lecterns and sound systems and accessories
45111600,Projectors and supplies
45111700,Audio presentation and composing equipment and hardware and controllers
45111800,Video and combination video and audio presentation equipment and hardware and controllers
45111900,Phone and video conference equipment and hardware and controllers
45112000,Microfilm equipment and supplies
45121500,Cameras
45121600,Camera accessories
45121700,Photographic processing equipment
45121800,Microfilm production equipment and supplies
45141600,Darkroom supplies
46101500,Firearms
46101800,Arms and ammunition accessories
46151500,Crowd control equipment
46151600,Security and control equipment
46151700,Forensic equipment and supplies and accessories
46161500,Traffic control
46161600,Water safety
46161700,Rescue equipment and accessories
46171500,Locks and security hardware and accessories
46171600,Surveillance and detection equipment
46181500,Safety apparel
46181600,Safety footwear
46181700,Face and head protection
46181800,Vision protection and accessories
46181900,Hearing protectors
46182000,Respiratory protection
46182100,Anti static equipment and supplies
46182200,Ergonomic support aids
46182300,Fall protection and rescue equipment
46182400,Decontamination aids and safety cleaning equipment
46182500,Personal safety devices or weapons
46191500,Fire prevention
46191600,Fire fighting equipment
47101500,Water treatment and supply equipment
47111500,Washing and drying equipment
47111600,Ironing equipment
47111700,Dry cleaning equipment
47121600,Floor machines and accessories
47121700,Waste containers and accessories
47121800,Cleaning equipment
47131500,Cleaning rags and cloths and wipes
47131600,Brooms and mops and brushes and accessories
47131800,Cleaning and disinfecting solutions
47131900,Absorbents
48101500,Cooking and warming equipment
48101600,Food preparation equipment
48101700,Food and beverage dispensing equipment
48101800,Cookware and kitchen tools
48102100,Storage and handling equipment and supplies
48111100,Piece and part vending machines
48111300,Service and ticket vending machines
48111400,Currency vending machines
48121100,Coin operated gambling machines
48121200,Gambling tables and games
48121300,Gambling management and networked wagering systems
49121500,Camping and outdoor equipment
49131500,Fishing tackle
49131600,Hunting products
49141500,Scuba and snorkeling gear
49141600,Surf and swim equipment and accessories
49151500,Skiing and snowboarding equipment
49151600,Skating and ice hockey equipment
49161500,Field sports equipment
49161600,Racquet and court sports equipment
49161700,Track sports equipment
49171500,Gymnastics equipment
49171600,Boxing equipment
49181500,Table games and equipment
49181600,Target games and equipment
49201500,Aerobic training equipment
49201600,Weight and resistance training equipment
49211600,Golf equipment
49211700,Bowling equipment and supplies and accessories
49211800,Physical education classroom equipment
49221500,Sport accessories
49241500,Playground equipment
49241600,Recreational equipment
49241700,Swimming pool and spa equipment and supplies
51121600,Antianginal drugs
52141500,Domestic kitchen appliances
52141600,Domestic laundry appliances and supplies
52141700,Domestic bath appliances
52141800,Other domestic household appliances
52151600,Domestic kitchen tools and utensils
52151700,Domestic flatware and cutlery
52151800,Domestic cookware
52151900,Domestic bakeware
52152000,Domestic dishes and servingware and storage containers
52152100,Domestic drink ware
52152200,Dishwashing and dish storage accessories
52161500,Audio and visual equipment
52161600,Audio visual equipment accessories
53102500,Clothing accessories
53102600,Nightwear
53111900,Athletic footwear
53112000,Shoe accessories
53121800,Travel kits and accessories
53131600,Bath and body
53141500,Sewing fasteners
53141600,Miscellaneous sewing supplies
54101700,Jewelry making tools and supplies
54111500,Watches
54111700,Watch or clock parts or accessories
55111500,Electronic publications and music
55121500,Tags
55121600,Labels
55121700,Signage
56101500,Furniture
56101700,Office furniture
56101800,Baby and toddler furniture and accessories
56101900,General furniture parts and accessories
56111800,Freestanding furniture
56111900,Industrial furniture
56121000,Library furnishings
56122000,Laboratory furniture
56131500,Mannequins and forms
56131600,Merchandiser free standing display and accessories
60101800,Church school educational resources
60102000,Word building resource materials and accessories
60103400,Geography and map skills resources and accessories
60103900,Living organisms and preserved specimens and related materials
60104200,Water testing and conservation and ecology
60104600,Mechanical physics materials
60104800,Wave and sound physics materials
60104900,Electrical physics materials
60105000,Nuclear physics materials
60105400,Consumer economics and money management and independent living instructional materials
60105600,Health education and nutrition and food preparation instructional materials
60121200,Classroom and fine art paint and mediums and applicators and accessories
60121300,Art and craft cutting products
60121400,Picture framing
60121500,Drawing tools and supplies and accessories
60121600,Studio aids
60121700,Printmaking supplies and accessories
60122000,Sewing and stitchery and weaving equipment and accessories
60122100,Candlemaking
60122200,Wood crafts
60122400,Stained glass making supplies
60122500,Paper crafts and hand made papermaking
60122700,Enameling paints and accessories
60122900,Beads or beading accessories
60123500,Leather craft materials
60123600,Glitter
60123700,Macrame craft materials and accessories
60124300,Clay and modeling compounds and ceramics equipment and accessories
60124500,Sculpture supplies and accessories
60131000,Keyboard instruments
60131100,Brass instruments
60131200,Woodwind instruments
60131300,String instruments
60131400,Percussion instruments
60131500,Musical instrument parts and accessories
60131600,Musical instrument sets
60141000,Toys
60141100,Games
60141200,Active play equipment and accessories
60141400,Dramatic play equipment and accessories
93151700,Currency
95121600,Transport buildings and structures
95141700,Prefabricated commercial and industrial buildings and structures
