WA Name,IWA Title,DWA Title,DWA ID,IWA ID,Element ID
Getting Information,Research issues related to earth sciences.,Research geological features or processes.,4.A.1.a.1.I08.D02,4.A.1.a.1.I08,4.A.1.a.1
Getting Information,Research issues related to earth sciences.,Conduct climatological research.,4.A.1.a.1.I08.D03,4.A.1.a.1.I08,4.A.1.a.1
Getting Information,"Research organizational behavior, processes, or performance.",Conduct surveys in organizations.,4.A.1.a.1.I09.D01,4.A.1.a.1.I09,4.A.1.a.1
Getting Information,"Research organizational behavior, processes, or performance.",Research industrial processes or operations.,4.A.1.a.1.I09.D02,4.A.1.a.1.I09,4.A.1.a.1
Getting Information,"Research organizational behavior, processes, or performance.",Conduct scientific research of organizational behavior or processes.,4.A.1.a.1.I09.D03,4.A.1.a.1.I09,4.A.1.a.1
Getting Information,Investigate the environmental impact of industrial or development activities.,Research impacts of environmental conservation initiatives.,4.A.1.a.1.I10.D01,4.A.1.a.1.I10,4.A.1.a.1
Getting Information,Investigate the environmental impact of industrial or development activities.,Research issues related to the environment or sustainable business practices.,4.A.1.a.1.I10.D02,4.A.1.a.1.I10,4.A.1.a.1
Getting Information,Investigate the environmental impact of industrial or development activities.,Investigate the environmental impact of projects.,4.A.1.a.1.I10.D03,4.A.1.a.1.I10,4.A.1.a.1
Getting Information,Investigate the environmental impact of industrial or development activities.,Monitor environmental impacts of production or development activities.,4.A.1.a.1.I10.D04,4.A.1.a.1.I10,4.A.1.a.1
Getting Information,Investigate the environmental impact of industrial or development activities.,Research environmental impact of industrial or development activities.,4.A.1.a.1.I10.D05,4.A.1.a.1.I10,4.A.1.a.1
Getting Information,Investigate the environmental impact of industrial or development activities.,Identify environmental concerns.,4.A.1.a.1.I10.D06,4.A.1.a.1.I10,4.A.1.a.1
Getting Information,Investigate the environmental impact of industrial or development activities.,Evaluate environmental impact of operational or development activities.,4.A.1.a.1.I10.D07,4.A.1.a.1.I10,4.A.1.a.1
Getting Information,Gather information for news stories.,Gather information for news stories.,4.A.1.a.1.I11.D01,4.A.1.a.1.I11,4.A.1.a.1
Getting Information,Collect information about patients or clients.,Gather medical information from patient histories.,4.A.1.a.1.I12.D01,4.A.1.a.1.I12,4.A.1.a.1
Getting Information,Collect information about patients or clients.,"Collect medical information from patients, family members, or other medical professionals.",4.A.1.a.1.I12.D02,4.A.1.a.1.I12,4.A.1.a.1
Getting Information,Collect information about patients or clients.,"Collect information from people through observation, interviews, or surveys.",4.A.1.a.1.I12.D03,4.A.1.a.1.I12,4.A.1.a.1
Getting Information,Collect information about patients or clients.,Collect information about clients.,4.A.1.a.1.I12.D04,4.A.1.a.1.I12,4.A.1.a.1
Getting Information,Research agricultural processes or practices.,Research livestock management methods.,4.A.1.a.1.I13.D01,4.A.1.a.1.I13,4.A.1.a.1
Getting Information,Research agricultural processes or practices.,Research crop management methods.,4.A.1.a.1.I13.D02,4.A.1.a.1.I13,4.A.1.a.1
Getting Information,Research agricultural processes or practices.,Research sustainable agricultural processes or practices.,4.A.1.a.1.I13.D03,4.A.1.a.1.I13,4.A.1.a.1
Getting Information,Collect data about consumer needs or opinions.,Conduct market research.,4.A.1.a.1.I14.D01,4.A.1.a.1.I14,4.A.1.a.1
Getting Information,Collect data about consumer needs or opinions.,Gather customer or product information to determine customer needs.,4.A.1.a.1.I14.D02,4.A.1.a.1.I14,4.A.1.a.1
Getting Information,Collect data about consumer needs or opinions.,Obtain personal or financial information about customers or applicants.,4.A.1.a.1.I14.D03,4.A.1.a.1.I14,4.A.1.a.1
Getting Information,Collect data about consumer needs or opinions.,Conduct opinion surveys or needs assessments.,4.A.1.a.1.I14.D04,4.A.1.a.1.I14,4.A.1.a.1
Getting Information,Collect data about consumer needs or opinions.,Collect data about customer needs.,4.A.1.a.1.I14.D05,4.A.1.a.1.I14,4.A.1.a.1
Getting Information,"Investigate individuals' background, behavior, or activities.",Observe individuals' activities to gather information or compile evidence.,4.A.1.a.1.I15.D01,4.A.1.a.1.I15,4.A.1.a.1
Getting Information,"Investigate individuals' background, behavior, or activities.",Investigate personal characteristics or activities of individuals.,4.A.1.a.1.I15.D02,4.A.1.a.1.I15,4.A.1.a.1
Getting Information,Research biological or ecological phenomena.,Research genetic characteristics or expression.,4.A.1.a.1.I16.D01,4.A.1.a.1.I16,4.A.1.a.1
Getting Information,Research biological or ecological phenomena.,Research diseases or parasites.,4.A.1.a.1.I16.D02,4.A.1.a.1.I16,4.A.1.a.1
Getting Information,Research biological or ecological phenomena.,Conduct research of processes in natural or industrial ecosystems.,4.A.1.a.1.I16.D03,4.A.1.a.1.I16,4.A.1.a.1
Getting Information,Research biological or ecological phenomena.,Research microbiological or chemical processes or structures.,4.A.1.a.1.I16.D04,4.A.1.a.1.I16,4.A.1.a.1
Getting Information,Research biological or ecological phenomena.,Classify organisms based on their characteristics or behavior.,4.A.1.a.1.I16.D05,4.A.1.a.1.I16,4.A.1.a.1
Getting Information,Research biological or ecological phenomena.,Examine characteristics or behavior of living organisms.,4.A.1.a.1.I16.D06,4.A.1.a.1.I16,4.A.1.a.1
Getting Information,Obtain formal documentation or authorization.,Obtain documentation to authorize activities.,4.A.1.a.1.I17.D01,4.A.1.a.1.I17,4.A.1.a.1
Getting Information,Obtain formal documentation or authorization.,Obtain copyrights or other legal permissions.,4.A.1.a.1.I17.D02,4.A.1.a.1.I17,4.A.1.a.1
Getting Information,Obtain formal documentation or authorization.,Obtain written authorization to perform activities.,4.A.1.a.1.I17.D03,4.A.1.a.1.I17,4.A.1.a.1
Getting Information,Research historical or social issues.,Conduct anthropological or archaeological research.,4.A.1.a.1.I18.D01,4.A.1.a.1.I18,4.A.1.a.1
Getting Information,Research historical or social issues.,Conduct historical research.,4.A.1.a.1.I18.D02,4.A.1.a.1.I18,4.A.1.a.1
Getting Information,Research historical or social issues.,Conduct research on social issues.,4.A.1.a.1.I18.D03,4.A.1.a.1.I18,4.A.1.a.1
Getting Information,Research historical or social issues.,Research social issues.,4.A.1.a.1.I18.D04,4.A.1.a.1.I18,4.A.1.a.1
Getting Information,Research healthcare issues.,Conduct research to increase knowledge about medical issues.,4.A.1.a.1.I19.D01,4.A.1.a.1.I19,4.A.1.a.1
Getting Information,Research healthcare issues.,Collect information about community health needs.,4.A.1.a.1.I19.D02,4.A.1.a.1.I19,4.A.1.a.1
Getting Information,Research technology designs or applications.,Research engineering aspects of biological or chemical processes.,4.A.1.a.1.I20.D01,4.A.1.a.1.I20,4.A.1.a.1
Getting Information,Research technology designs or applications.,Research engineering applications of emerging technologies.,4.A.1.a.1.I20.D02,4.A.1.a.1.I20,4.A.1.a.1
Getting Information,Research technology designs or applications.,Research design or application of green technologies.,4.A.1.a.1.I20.D03,4.A.1.a.1.I20,4.A.1.a.1
Getting Information,Research technology designs or applications.,Conduct research to gain information about products or processes.,4.A.1.a.1.I20.D04,4.A.1.a.1.I20,4.A.1.a.1
Getting Information,Research technology designs or applications.,Research advanced engineering designs or applications.,4.A.1.a.1.I20.D05,4.A.1.a.1.I20,4.A.1.a.1
Getting Information,Research technology designs or applications.,"Research energy production, use, or conservation.",4.A.1.a.1.I20.D06,4.A.1.a.1.I20,4.A.1.a.1
Getting Information,Research technology designs or applications.,Research human performance or health factors related to engineering or design activities.,4.A.1.a.1.I20.D07,4.A.1.a.1.I20,4.A.1.a.1
Getting Information,Research technology designs or applications.,Research new technologies.,4.A.1.a.1.I20.D08,4.A.1.a.1.I20,4.A.1.a.1
Getting Information,Research technology designs or applications.,Research product safety.,4.A.1.a.1.I20.D09,4.A.1.a.1.I20,4.A.1.a.1
Getting Information,Research technology designs or applications.,Research methods to improve food products.,4.A.1.a.1.I20.D10,4.A.1.a.1.I20,4.A.1.a.1
Getting Information,Investigate incidents or accidents.,Investigate accidents to determine causes.,4.A.1.a.1.I21.D01,4.A.1.a.1.I21,4.A.1.a.1
Getting Information,Investigate incidents or accidents.,Examine debris to obtain information about causes of fires.,4.A.1.a.1.I21.D02,4.A.1.a.1.I21,4.A.1.a.1
Getting Information,Investigate incidents or accidents.,"Investigate transportation incidents, violations, or complaints.",4.A.1.a.1.I21.D03,4.A.1.a.1.I21,4.A.1.a.1
Getting Information,Investigate incidents or accidents.,Investigate industrial or transportation accidents.,4.A.1.a.1.I21.D04,4.A.1.a.1.I21,4.A.1.a.1
Getting Information,Investigate organizational or operational problems.,"Investigate system, equipment, or product failures.",4.A.1.a.1.I22.D01,4.A.1.a.1.I22,4.A.1.a.1
Getting Information,Investigate organizational or operational problems.,Investigate work related complaints to determine corrective actions.,4.A.1.a.1.I22.D02,4.A.1.a.1.I22,4.A.1.a.1
Getting Information,Investigate organizational or operational problems.,Investigate safety of work environment.,4.A.1.a.1.I22.D03,4.A.1.a.1.I22,4.A.1.a.1
Getting Information,Interview people to obtain information.,"Interview employees, customers, or others to collect information.",4.A.1.a.1.I23.D01,4.A.1.a.1.I23,4.A.1.a.1
Getting Information,Interview people to obtain information.,Interview others for news or entertainment purposes.,4.A.1.a.1.I23.D02,4.A.1.a.1.I23,4.A.1.a.1
Getting Information,Interview people to obtain information.,Interview clients to gather financial information.,4.A.1.a.1.I23.D03,4.A.1.a.1.I23,4.A.1.a.1
Getting Information,Interview people to obtain information.,Interview people to obtain information about actions or status of individuals.,4.A.1.a.1.I23.D04,4.A.1.a.1.I23,4.A.1.a.1
Getting Information,Interview people to obtain information.,Interview people to gather information about criminal activities.,4.A.1.a.1.I23.D05,4.A.1.a.1.I23,4.A.1.a.1
Getting Information,Interview people to obtain information.,Interview patients to gather medical information.,4.A.1.a.1.I23.D06,4.A.1.a.1.I23,4.A.1.a.1
Getting Information,Interview people to obtain information.,Interview claimants to get information related to legal proceedings.,4.A.1.a.1.I23.D07,4.A.1.a.1.I23,4.A.1.a.1
Getting Information,Interview people to obtain information.,"Interview clients to gather information about their backgrounds, needs, or progress.",4.A.1.a.1.I23.D08,4.A.1.a.1.I23,4.A.1.a.1
Getting Information,Interview people to obtain information.,"Interview witnesses, suspects, or claimants.",4.A.1.a.1.I23.D09,4.A.1.a.1.I23,4.A.1.a.1
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor broadcasting operations to ensure proper functioning.,4.A.1.a.2.I01.D01,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor medical equipment to ensure proper functioning.,4.A.1.a.2.I01.D02,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor engine operation or functioning.,4.A.1.a.2.I01.D03,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor lubrication of equipment or workpieces.,4.A.1.a.2.I01.D04,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor equipment operation to ensure proper functioning.,4.A.1.a.2.I01.D05,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Observe equipment in operation to detect potential problems.,4.A.1.a.2.I01.D06,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Watch operating equipment to detect malfunctions.,4.A.1.a.2.I01.D07,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,"Monitor green energy equipment, systems, or facilities.",4.A.1.a.2.I01.D08,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Assess equipment functioning.,4.A.1.a.2.I01.D09,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor equipment operation to ensure that products are not flawed.,4.A.1.a.2.I01.D10,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor instruments to ensure proper production conditions.,4.A.1.a.2.I01.D11,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor video displays of medical equipment to ensure proper functioning.,4.A.1.a.2.I01.D12,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor equipment gauges or displays to ensure proper operation.,4.A.1.a.2.I01.D13,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor equipment operation.,Monitor equipment fluid levels.,4.A.1.a.2.I01.D14,4.A.1.a.2.I01,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor industrial energy consumption or management.,4.A.1.a.2.I02.D01,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor facilities or operational systems.,4.A.1.a.2.I02.D02,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor operational quality or safety.,4.A.1.a.2.I02.D03,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor extraction operations.,4.A.1.a.2.I02.D04,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor organizational procedures to ensure proper functioning.,4.A.1.a.2.I02.D05,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor construction operations.,4.A.1.a.2.I02.D06,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor vehicle movement or location.,4.A.1.a.2.I02.D07,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor recreational facility operations.,4.A.1.a.2.I02.D08,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Inspect operational processes.,4.A.1.a.2.I02.D09,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Track goods or materials.,4.A.1.a.2.I02.D10,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor food services operations to ensure procedures are followed.,4.A.1.a.2.I02.D11,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor loading processes to ensure they are performed properly.,4.A.1.a.2.I02.D12,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor biofuel production operations.,4.A.1.a.2.I02.D13,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Inspect cargo to ensure it is properly loaded or secured.,4.A.1.a.2.I02.D14,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor the productivity or efficiency of industrial operations.,4.A.1.a.2.I02.D15,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor operational procedures in technical environments to ensure conformance to standards.,4.A.1.a.2.I02.D16,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Inspect operations of green energy facilities.,4.A.1.a.2.I02.D17,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor conditions at energy-producing landfills.,4.A.1.a.2.I02.D18,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor the handling of hazardous materials or medical wastes.,4.A.1.a.2.I02.D19,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor operations to ensure adequate performance.,Monitor organizational processes.,4.A.1.a.2.I02.D20,4.A.1.a.2.I02,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor financial information.,4.A.1.a.2.I03.D01,4.A.1.a.2.I03,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor financial activities.,4.A.1.a.2.I03.D02,4.A.1.a.2.I03,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor sales activities.,4.A.1.a.2.I03.D03,4.A.1.a.2.I03,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor flow of cash or other resources.,4.A.1.a.2.I03.D04,4.A.1.a.2.I03,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor financial indicators.,4.A.1.a.2.I03.D05,4.A.1.a.2.I03,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor financial data or activities.,Monitor business indicators.,4.A.1.a.2.I03.D06,4.A.1.a.2.I03,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor traffic conditions.,Monitor traffic signals.,4.A.1.a.2.I04.D01,4.A.1.a.2.I04,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor traffic conditions.,Time vehicle speed or traffic-control equipment operation.,4.A.1.a.2.I04.D02,4.A.1.a.2.I04,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor patient progress or responses to treatments.,4.A.1.a.2.I05.D01,4.A.1.a.2.I05,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor clients to evaluate treatment progress.,4.A.1.a.2.I05.D02,4.A.1.a.2.I05,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor patients following surgeries or other treatments.,4.A.1.a.2.I05.D03,4.A.1.a.2.I05,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor animal behavior or condition.,4.A.1.a.2.I05.D04,4.A.1.a.2.I05,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor health or behavior of people or animals.,4.A.1.a.2.I05.D05,4.A.1.a.2.I05,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor patients to detect health problems.,4.A.1.a.2.I05.D06,4.A.1.a.2.I05,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,"Monitor patient conditions during treatments, procedures, or activities.",4.A.1.a.2.I05.D07,4.A.1.a.2.I05,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor health conditions of humans or animals.,Monitor nutrition related activities of individuals or groups.,4.A.1.a.2.I05.D08,4.A.1.a.2.I05,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Monitor performance of organizational members or partners.,4.A.1.a.2.I06.D01,4.A.1.a.2.I06,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Monitor patron activities to identify problems or potential problems.,4.A.1.a.2.I06.D02,4.A.1.a.2.I06,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Monitor student performance.,4.A.1.a.2.I06.D03,4.A.1.a.2.I06,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Supervise school or student activities.,4.A.1.a.2.I06.D04,4.A.1.a.2.I06,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Enforce rules or policies governing student behavior.,4.A.1.a.2.I06.D05,4.A.1.a.2.I06,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,Monitor activities of individuals to ensure safety or compliance with rules.,4.A.1.a.2.I06.D06,4.A.1.a.2.I06,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings",Monitor individual behavior or performance.,"Monitor student behavior, social development, or health.",4.A.1.a.2.I06.D07,4.A.1.a.2.I06,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor environment to ensure safety.,4.A.1.a.2.I07.D01,4.A.1.a.2.I07,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor access or flow of people to prevent problems.,4.A.1.a.2.I07.D02,4.A.1.a.2.I07,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor building premises to ensure occupant or visitor safety.,4.A.1.a.2.I07.D03,4.A.1.a.2.I07,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Locate suspicious objects or vehicles.,4.A.1.a.2.I07.D04,4.A.1.a.2.I07,4.A.1.a.2
"Monitor Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Patrol properties to maintain safety.,4.A.1.a.2.I07.D05,4.A.1.a.2.I07,4.A.1.a.2
